,STATEFP,COUNTYFP,Tract,Block,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
843,36,029,006601,3,360290066013,Block Group 3,G5030,S,104012,0,+42.9128614,-078.8853958,"POLYGON ((-78.88816899999999 42.914965, -78.88738699999999 42.915367, -78.88734099999999 42.915368, -78.886201 42.91416, -78.885882 42.91381, -78.885772 42.913701, -78.884692 42.91255, -78.88439799999999 42.912237, -78.883596 42.912647, -78.88280999999999 42.913046, -78.882481 42.913213, -78.88207899999999 42.913415, -78.882075 42.913212, -78.88205599999999 42.91226, -78.88202699999999 42.91131499999999, -78.88208499999999 42.911316, -78.882356 42.911316, -78.883156 42.911316, -78.885645 42.911335, -78.88583899999999 42.911336, -78.885936 42.911333, -78.886155 42.911336, -78.88600199999999 42.911403, -78.88748699999999 42.912984, -78.887316 42.913073, -78.88741999999999 42.913185, -78.887649 42.913414, -78.888792 42.914649, -78.88816899999999 42.914965))"
844,36,029,006601,1,360290066011,Block Group 1,G5030,S,97983,0,+42.9142218,-078.8842233,"POLYGON ((-78.886906 42.915382, -78.886797 42.915381, -78.88617599999999 42.915398, -78.885666 42.915411, -78.88452099999999 42.91543799999999, -78.883409 42.915467, -78.882819 42.91548299999999, -78.88260099999999 42.915489, -78.88211799999999 42.915504, -78.88212 42.915258, -78.882115 42.915078, -78.882097 42.914433, -78.882093 42.914142, -78.88207899999999 42.913415, -78.882481 42.913213, -78.88280999999999 42.913046, -78.883596 42.912647, -78.88439799999999 42.912237, -78.884692 42.91255, -78.885772 42.913701, -78.885882 42.91381, -78.886201 42.91416, -78.88734099999999 42.915368, -78.886906 42.915382))"
845,36,029,006602,2,360290066022,Block Group 2,G5030,S,118949,0,+42.9122269,-078.8735714,"POLYGON ((-78.877073 42.91224099999999, -78.877061 42.913173, -78.87589899999999 42.91316, -78.872815 42.913152, -78.87165399999999 42.913147, -78.86982499999999 42.913136, -78.870081 42.912214, -78.870176 42.911809, -78.87032499999999 42.911261, -78.87215399999999 42.911274, -78.87282999999999 42.911274, -78.87708499999999 42.911298, -78.877073 42.91224099999999))"
846,36,029,006602,3,360290066023,Block Group 3,G5030,S,170598,0,+42.9133307,-078.8674857,"POLYGON ((-78.870176 42.911809, -78.870081 42.912214, -78.86982499999999 42.913136, -78.86956599999999 42.91408, -78.869372 42.914691, -78.869173 42.915394, -78.86682399999999 42.91537599999999, -78.865495 42.915365, -78.864655 42.915352, -78.864671 42.915207, -78.86460199999999 42.915015, -78.864642 42.914903, -78.86482699999999 42.91434599999999, -78.86498399999999 42.913944, -78.865026 42.913837, -78.865494 42.912486, -78.86591299999999 42.911246, -78.866005 42.911243, -78.866389 42.911245, -78.868135 42.911251, -78.87005499999999 42.911252, -78.87032499999999 42.911261, -78.870176 42.911809))"
847,36,029,006701,2,360290067012,Block Group 2,G5030,S,163170,0,+42.9090329,-078.8837552,"POLYGON ((-78.886155 42.911336, -78.885936 42.911333, -78.88583899999999 42.911336, -78.885645 42.911335, -78.883156 42.911316, -78.882356 42.911316, -78.88208499999999 42.911316, -78.88202699999999 42.91131499999999, -78.882024 42.911084, -78.882013 42.910273, -78.88199399999999 42.909567, -78.88199899999999 42.90949699999999, -78.881985 42.908959, -78.881986 42.90876, -78.88195999999999 42.906954, -78.881958 42.906881, -78.88194799999999 42.906473, -78.881923 42.905434, -78.88198 42.905433, -78.88232499999999 42.905428, -78.88261899999999 42.905425, -78.882947 42.905798, -78.883049 42.905908, -78.88315399999999 42.906024, -78.88336 42.906244, -78.884519 42.907475, -78.88568099999999 42.908713, -78.88600000000001 42.909045, -78.885442 42.90933, -78.886939 42.910934, -78.886155 42.911336))"
848,36,029,006701,3,360290067013,Block Group 3,G5030,S,167170,0,+42.9096695,-078.8783203,"POLYGON ((-78.88202699999999 42.91131499999999, -78.88032199999999 42.911312, -78.87869599999999 42.911306, -78.87708499999999 42.911298, -78.877094 42.9099, -78.877107 42.90897, -78.87710299999999 42.908928, -78.877117 42.906515, -78.87713599999999 42.905891, -78.87713699999999 42.90553, -78.87712599999999 42.904732, -78.87875699999999 42.904745, -78.87875 42.905644, -78.87875 42.906519, -78.878727 42.908695, -78.87872399999999 42.908912, -78.87872 42.908938, -78.880325 42.908953, -78.881985 42.908959, -78.88199899999999 42.90949699999999, -78.88199399999999 42.909567, -78.882013 42.910273, -78.882024 42.911084, -78.88202699999999 42.91131499999999))"
849,36,029,006702,1,360290067021,Block Group 1,G5030,S,255428,0,+42.9079879,-078.8691840,"POLYGON ((-78.871692 42.90673899999999, -78.87168199999999 42.90678399999999, -78.87142799999999 42.907613, -78.871082 42.908872, -78.871045 42.908985, -78.87077099999999 42.909845, -78.87052199999999 42.910618, -78.87032499999999 42.911261, -78.87005499999999 42.911252, -78.868135 42.911251, -78.866389 42.911245, -78.866005 42.911243, -78.86591299999999 42.911246, -78.86626299999999 42.910287, -78.866523 42.909554, -78.86672 42.90899599999999, -78.866771 42.908854, -78.866935 42.908327, -78.86716899999999 42.907666, -78.86749399999999 42.906747, -78.867538 42.906604, -78.867783 42.905811, -78.86816899999999 42.90463099999999, -78.869686 42.904651, -78.870237 42.904655, -78.872297 42.904668, -78.871692 42.90673899999999))"
850,36,029,006702,2,360290067022,Block Group 2,G5030,S,190384,0,+42.9034728,-078.8728601,"POLYGON ((-78.877135 42.903483, -78.87712599999999 42.904732, -78.87512799999999 42.904703, -78.872297 42.904668, -78.870237 42.904655, -78.869686 42.904651, -78.86816899999999 42.90463099999999, -78.868179 42.904601, -78.86847999999999 42.90370799999999, -78.86860799999999 42.903311, -78.868656 42.903163, -78.868751 42.902867, -78.868971 42.90221, -78.87019099999999 42.902214, -78.871015 42.902215, -78.87136 42.902217, -78.87302 42.902227, -78.875027 42.90224, -78.87510399999999 42.90224, -78.875609 42.902245, -78.87597 42.90225, -78.87713599999999 42.902263, -78.877135 42.903483))"
851,36,029,006902,2,360290069022,Block Group 2,G5030,S,144856,0,+42.9004396,-078.8877203,"POLYGON ((-78.892208 42.901285, -78.89106699999999 42.901861, -78.890828 42.901608, -78.89062 42.901388, -78.889974 42.900727, -78.88955199999999 42.90028, -78.888543 42.900788, -78.888284 42.900927, -78.887725 42.901209, -78.88730000000001 42.901425, -78.88716599999999 42.901481, -78.886049 42.902066, -78.885001 42.9026, -78.88495 42.902662, -78.883533 42.901021, -78.883606 42.90098, -78.88457699999999 42.900492, -78.8849 42.90033, -78.88569699999999 42.899918, -78.885885 42.899816, -78.886799 42.899348, -78.88707599999999 42.89921, -78.88774599999999 42.898861, -78.888081 42.898691, -78.88862999999999 42.898419, -78.889196 42.898138, -78.88972 42.898661, -78.89067799999999 42.899699, -78.890942 42.899981, -78.891352 42.900407, -78.891604 42.900676, -78.891773 42.900855, -78.892208 42.901285))"
853,36,029,006902,4,360290069024,Block Group 4,G5030,S,98386,0,+42.9022424,-078.8879941,"POLYGON ((-78.89106699999999 42.901861, -78.89072 42.902033, -78.89032399999999 42.902234, -78.88977299999999 42.902513, -78.889213 42.902797, -78.88865199999999 42.903079, -78.887529 42.903643, -78.887196 42.903805, -78.886409 42.904201, -78.885317 42.903053, -78.885025 42.902746, -78.88495 42.902662, -78.885001 42.9026, -78.886049 42.902066, -78.88716599999999 42.901481, -78.88730000000001 42.901425, -78.887725 42.901209, -78.888284 42.900927, -78.888543 42.900788, -78.88955199999999 42.90028, -78.889974 42.900727, -78.89062 42.901388, -78.890828 42.901608, -78.89106699999999 42.901861))"
