Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
368800,36,029,014604,2,1178,392,1853,38.1,0,2895,34,1040,783,223,1006,149,2594,18,2895,2018
474500,36,029,014604,3,-666666666,256,1238,31.0,23,1820,0,671,600,71,671,77,1657,5,1820,2018
339700,36,029,014604,4,-666666666,202,810,-666666666.0,259,1180,0,439,417,22,439,0,1180,0,1180,2018
363800,36,029,014701,2,-666666666,174,762,-666666666.0,9,1211,19,403,373,11,384,15,1179,9,1211,2018
258600,36,029,014701,3,-666666666,611,2095,17.9,140,2890,86,1228,997,145,1142,20,2820,5,2898,2018
49600,36,029,005802,1,642,357,490,51.0,329,693,39,396,52,305,357,165,446,137,693,2018
60100,36,029,005802,2,560,571,952,32.6,758,1551,121,682,195,366,561,427,650,283,1551,2018
60000,36,029,005802,3,599,186,367,43.6,228,597,23,293,84,186,270,0,210,181,597,2018
57800,36,029,005802,4,506,650,921,29.9,418,1656,71,561,325,165,490,106,666,0,1656,2018
-666666666,36,029,006201,1,-666666666,0,46,-666666666.0,0,0,0,0,0,0,0,345,557,1101,2095,2018
-666666666,36,029,006901,2,326,222,284,33.5,450,601,69,323,24,230,254,384,207,82,601,2018
45900,36,029,006901,3,517,504,705,34.9,562,1122,156,607,159,292,451,346,230,222,1122,2018
159100,36,029,006902,1,645,447,1203,35.5,622,1776,57,886,368,461,829,219,791,434,1776,2018
205700,36,029,006902,2,619,224,568,51.0,367,857,67,402,149,186,335,427,558,9,857,2018
116400,36,029,006902,4,701,332,577,42.3,335,784,66,509,59,384,443,175,465,168,953,2018
238500,36,029,007302,4,-666666666,576,1809,24.5,208,2541,49,1049,902,98,1000,47,2485,5,2548,2018
116100,36,029,007600,2,563,366,815,41.2,76,1122,26,526,385,115,500,11,1097,2,1122,2018
93800,36,029,007700,2,581,330,716,36.9,97,900,60,610,304,246,550,0,900,0,900,2018
124200,36,029,007800,3,794,402,960,34.6,67,1376,0,605,530,75,605,29,1157,0,1376,2018
113300,36,029,007800,4,-666666666,649,1297,-666666666.0,50,1419,40,661,609,12,621,16,1417,0,1419,2018
153600,36,029,007905,2,-666666666,245,696,-666666666.0,159,879,0,401,369,32,401,0,879,0,879,2018
126900,36,029,008003,4,-666666666,267,920,-666666666.0,45,1286,44,528,450,34,484,92,1064,103,1286,2018
136000,36,029,008102,2,656,210,831,24.8,92,1219,21,616,381,214,595,60,1107,73,1219,2018
