Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
116800,36,029,008202,5,351,391,646,28.3,171,631,76,494,115,303,418,14,699,47,770,2018
121200,36,029,008500,2,724,267,1012,25.6,25,1440,23,615,393,199,592,123,1291,96,1440,2018
162100,36,029,008900,2,940,74,414,23.5,33,617,10,243,170,63,233,1,615,2,617,2018
243800,36,029,009004,2,-666666666,183,1190,32.1,133,1710,49,689,573,67,640,73,1584,0,1710,2018
294200,36,029,009007,4,-666666666,118,1210,-666666666.0,0,1928,0,633,633,0,633,39,1662,14,1928,2018
164700,36,029,009008,1,867,138,1031,51.0,85,1257,79,795,614,102,716,11,1190,0,1257,2018
346900,36,029,014702,5,-666666666,319,1769,-666666666.0,0,2710,14,920,879,27,906,51,2515,2,2716,2018
160700,36,029,014803,1,628,233,793,14.6,26,1116,0,435,321,114,435,0,1107,0,1116,2018
181700,36,029,015202,3,720,380,1142,24.5,23,1443,47,755,526,182,708,0,1447,0,1448,2018
171800,36,029,015301,2,624,578,1170,14.0,99,1556,28,646,517,101,618,27,1501,0,1556,2018
148600,36,029,015302,2,-666666666,508,1081,21.2,31,1344,0,602,418,184,602,85,1320,0,1344,2018
156500,36,029,015302,3,-666666666,276,619,-666666666.0,19,753,24,322,298,0,298,22,738,0,760,2018
144100,36,029,015503,1,544,500,1074,38.8,279,1436,101,712,481,130,611,75,1429,4,1444,2018
93200,36,029,015503,2,657,424,978,23.3,242,1357,107,666,402,157,559,9,1224,0,1357,2018
132500,36,029,015504,2,-666666666,339,829,-666666666.0,73,967,235,697,425,37,462,14,937,21,967,2018
89300,36,029,015504,3,-666666666,137,303,-666666666.0,0,488,72,290,210,8,218,0,488,0,488,2018
138000,36,029,015900,2,584,519,1429,23.1,126,1719,62,848,541,245,786,51,1732,19,1798,2018
92800,36,029,016200,1,488,468,883,26.3,228,1105,57,568,295,216,511,114,913,166,1262,2018
33200,36,029,016300,1,-666666666,278,387,-666666666.0,234,596,84,286,157,45,202,195,436,68,596,2018
28400,36,029,016300,3,575,393,594,37.8,442,1048,158,532,181,193,374,327,831,104,1048,2018
-666666666,36,029,016400,1,247,191,584,21.4,273,797,83,587,12,492,504,91,84,655,797,2018
61100,36,029,016400,3,909,162,318,48.8,124,368,27,241,111,103,214,44,178,91,368,2018
97100,36,029,016400,4,522,505,634,47.5,493,1184,26,367,172,169,341,421,126,657,1184,2018
52500,36,029,016600,1,554,337,409,51.0,211,612,104,361,158,99,257,0,25,549,612,2018
-666666666,36,029,016600,2,432,180,260,51.0,125,330,69,249,50,130,180,12,7,311,330,2018
51800,36,029,016600,4,446,391,600,51.0,355,883,107,439,184,148,332,4,29,789,915,2018
215000,36,029,004500,3,721,269,1314,41.4,22,1771,0,583,468,115,583,0,1649,59,1771,2018
244600,36,029,004500,6,-666666666,41,671,-666666666.0,157,823,0,376,258,118,376,69,751,0,823,2018
179300,36,029,004500,5,635,44,583,30.9,0,756,0,357,273,84,357,1,699,45,761,2018
84200,36,029,004601,2,1084,55,316,51.0,531,786,44,327,48,235,283,57,322,159,794,2018
75000,36,029,004601,4,927,46,330,49.2,396,749,67,337,73,197,270,71,292,177,760,2018
225000,36,029,005300,1,730,50,469,32.8,53,615,36,311,182,93,275,13,448,140,660,2018
51300,36,029,005700,1,396,288,539,22.7,735,1099,46,433,47,340,387,597,343,313,1099,2018
55000,36,029,005700,3,530,427,778,35.4,725,1315,82,531,105,344,449,355,644,149,1315,2018
97200,36,029,007800,1,693,251,729,26.0,133,999,29,475,273,173,446,0,883,0,999,2018
163100,36,029,007905,1,884,659,1864,25.6,74,2444,61,1186,751,374,1125,361,2102,152,2486,2018
129300,36,029,008001,1,-666666666,406,884,-666666666.0,0,1222,0,480,480,0,480,0,1222,0,1222,2018
222800,36,029,013900,1,694,298,1578,19.8,200,2118,78,1003,722,203,925,16,2026,35,2118,2018
226900,36,029,013201,2,-666666666,685,2011,-666666666.0,236,2838,39,1088,1026,23,1049,23,2846,15,2874,2018
118100,36,029,013201,1,821,782,1744,23.2,190,2246,45,1052,484,523,1007,96,2182,2,2246,2018
185400,36,029,013501,1,864,657,1878,25.1,47,2819,49,1053,799,205,1004,0,2759,29,2822,2018
267600,36,029,014702,1,714,280,702,23.6,69,901,38,401,247,116,363,22,861,9,911,2018
220400,36,029,004800,1,741,174,908,17.3,121,1210,89,687,324,274,598,33,876,261,1210,2018
205300,36,029,004800,2,657,149,780,43.3,81,1184,92,613,339,182,521,54,1121,26,1184,2018
97100,36,029,004700,1,697,138,506,32.7,273,1042,35,500,96,369,465,217,260,667,1042,2018
120500,36,029,005000,2,628,220,483,11.7,71,547,7,236,114,115,229,47,425,36,547,2018
324600,36,029,005400,3,1118,25,592,13.7,18,865,26,342,261,55,316,78,715,133,865,2018
283000,36,029,005400,4,772,75,582,24.0,100,797,82,422,228,112,340,11,745,14,797,2018
53600,36,029,005600,1,317,273,371,28.3,554,762,9,344,28,307,335,407,244,225,772,2018
75700,36,029,005600,5,520,197,439,51.0,132,571,22,327,119,186,305,45,420,88,571,2018
87100,36,029,005600,2,-666666666,178,412,-666666666.0,97,503,46,272,181,45,226,127,355,101,503,2018
63900,36,029,005600,3,563,228,532,28.3,159,823,97,477,82,298,380,50,287,316,823,2018
97100,36,029,007700,5,694,302,642,28.2,18,768,0,355,302,53,355,0,745,0,768,2018
103800,36,029,007700,1,595,181,748,19.3,192,982,39,577,289,249,538,100,873,32,982,2018
113900,36,029,007700,4,711,121,385,51.0,52,556,0,248,178,70,248,65,487,4,556,2018
102100,36,029,008001,3,625,197,605,26.7,192,941,0,337,229,108,337,0,677,289,1004,2018
113900,36,029,008001,4,-666666666,267,442,-666666666.0,0,582,0,223,223,0,223,93,489,0,582,2018
103300,36,029,008001,6,443,227,736,51.0,110,1061,62,477,326,89,415,74,765,296,1061,2018
137100,36,029,008001,2,-666666666,210,737,-666666666.0,47,752,0,376,376,0,376,45,794,15,842,2018
150200,36,029,008001,5,710,240,749,24.8,279,1293,0,515,311,204,515,319,773,485,1293,2018
120000,36,029,008201,1,670,281,550,51.0,85,753,31,367,284,52,336,25,729,17,753,2018
141800,36,029,008500,1,406,250,901,27.2,117,1034,51,649,349,249,598,20,963,47,1039,2018
-666666666,36,029,003400,5,560,198,351,51.0,155,450,61,305,81,163,244,9,9,460,469,2018
36500,36,029,003400,1,573,127,460,34.4,286,712,27,304,121,156,277,0,92,611,712,2018
-666666666,36,029,003400,4,624,75,265,33.3,74,398,60,250,107,83,190,0,0,350,398,2018
61300,36,029,003400,2,414,222,340,46.4,251,518,64,356,103,189,292,0,0,428,518,2018
38400,36,029,003800,2,732,164,326,51.0,271,490,46,248,97,105,202,0,93,397,490,2018
38700,36,029,003800,1,703,336,683,42.1,626,1132,52,464,109,303,412,15,205,921,1202,2018
67400,36,029,004700,3,475,314,992,9.0,91,1430,85,638,364,189,553,159,141,1271,1487,2018
43200,36,029,003800,3,492,308,687,46.1,549,1455,112,631,191,328,519,297,152,1078,1467,2018
53100,36,029,004700,2,705,115,394,19.7,49,653,77,365,86,202,288,0,58,555,653,2018
59400,36,029,004700,4,659,613,1269,32.6,495,1692,50,738,174,514,688,105,482,828,1692,2018
231900,36,029,015101,2,513,282,559,28.7,16,642,56,364,251,57,308,0,636,0,642,2018
203200,36,029,015101,3,-666666666,285,623,-666666666.0,2,796,8,325,284,33,317,0,784,2,796,2018
165800,36,029,015102,1,529,451,1074,12.8,137,1528,74,632,469,89,558,8,1525,0,1528,2018
125200,36,029,015900,1,523,1043,1701,26.2,539,2437,116,1180,478,586,1064,11,2471,4,2508,2018
71400,36,029,003301,3,548,486,1049,51.0,424,1544,88,792,281,423,704,48,35,1486,1544,2018
72900,36,029,003301,4,600,194,411,51.0,376,697,44,313,146,123,269,0,0,697,697,2018
51200,36,029,003901,1,617,302,622,51.0,276,823,130,573,235,208,443,12,27,725,823,2018
59000,36,029,004401,3,578,449,1003,35.3,339,1647,47,746,406,293,699,48,62,1462,1647,2018
57300,36,029,004401,1,583,255,490,42.3,168,711,14,330,171,145,316,0,49,662,711,2018
126800,36,029,005202,2,624,187,681,41.0,385,1332,141,619,172,306,478,42,380,908,1351,2018
120600,36,029,005202,1,841,258,501,34.2,541,1128,87,461,139,235,374,116,910,716,1873,2018
-666666666,36,029,005500,3,444,370,554,27.2,230,911,67,444,68,309,377,269,267,202,911,2018
212500,36,029,005500,2,506,320,684,45.5,678,1270,109,659,80,470,550,67,668,228,1270,2018
163700,36,029,006301,4,601,455,1216,24.7,306,1535,43,827,358,426,784,202,1124,201,1535,2018
-666666666,36,029,006301,5,644,14,180,22.5,151,498,101,319,54,164,218,0,355,110,498,2018
282300,36,029,006301,3,522,128,532,16.7,14,681,60,365,160,145,305,0,578,87,681,2018
171100,36,029,006301,1,766,102,526,21.4,75,760,93,478,179,206,385,18,643,0,760,2018
346400,36,029,006301,2,768,32,500,19.3,12,735,69,507,160,278,438,38,727,22,749,2018
147800,36,029,007901,1,-666666666,232,811,-666666666.0,80,1001,0,445,429,16,445,25,987,34,1029,2018
-666666666,36,029,008300,2,521,178,298,41.2,269,480,0,206,10,196,206,55,347,40,480,2018
108000,36,029,008300,3,570,197,306,51.0,288,550,49,272,31,192,223,223,221,58,550,2018
79800,36,029,008400,3,556,150,547,36.8,338,1051,11,390,283,96,379,49,648,90,1051,2018
128900,36,029,009800,2,662,248,485,18.0,54,581,21,328,157,150,307,23,562,4,581,2018
108000,36,029,008400,2,-666666666,286,615,18.1,220,861,51,422,266,105,371,18,720,11,861,2018
165400,36,029,009600,1,1475,389,1210,25.8,487,1977,0,832,397,435,832,136,1895,25,1977,2018
117700,36,029,009800,1,633,369,788,23.4,150,1085,0,465,326,139,465,19,1075,2,1085,2018
96500,36,029,010600,1,756,401,704,33.3,142,1013,17,488,235,236,471,25,749,141,1021,2018
102600,36,029,010700,1,721,350,764,41.3,224,1153,114,616,359,143,502,24,841,120,1153,2018
98600,36,029,010700,2,-666666666,275,498,-666666666.0,66,634,37,332,274,21,295,12,558,44,639,2018
117900,36,029,011600,2,637,171,527,32.1,8,818,24,338,292,22,314,0,804,0,818,2018
102600,36,029,012502,2,546,288,670,27.5,45,788,18,409,301,90,391,0,757,19,788,2018
117700,36,029,012502,1,586,305,723,18.3,135,884,0,411,301,110,411,77,884,0,884,2018
285000,36,029,006501,1,860,38,468,16.6,91,710,35,434,141,258,399,1,616,1,710,2018
222900,36,029,009113,1,-666666666,167,1248,-666666666.0,36,1908,0,651,651,0,651,0,1870,0,1908,2018
244500,36,029,009113,2,-666666666,222,2030,-666666666.0,0,2723,13,1181,1136,32,1168,0,2200,347,2723,2018
142700,36,029,009301,4,-666666666,35,691,-666666666.0,39,1145,0,413,336,77,413,165,923,192,1145,2018
103900,36,029,009301,3,738,201,812,51.0,676,1340,108,729,262,359,621,14,536,193,1340,2018
213200,36,029,014702,2,531,333,1087,26.9,122,1374,39,607,335,233,568,20,1566,32,1598,2018
189900,36,029,012902,1,444,275,1228,13.3,71,1685,37,689,574,78,652,28,1625,35,1685,2018
122000,36,029,014300,5,481,354,782,24.0,136,1267,0,484,376,108,484,0,1250,0,1267,2018
123500,36,029,014300,4,526,188,623,20.3,66,834,53,520,183,284,467,22,818,0,834,2018
106100,36,029,014502,2,568,454,1063,24.3,280,1548,8,723,390,325,715,128,1431,0,1548,2018
74700,36,029,014502,1,600,218,399,24.2,58,723,193,563,49,321,370,0,611,110,723,2018
124200,36,029,015003,2,581,342,785,22.9,88,1088,12,484,317,155,472,29,1078,0,1094,2018
171800,36,029,015800,1,620,739,1484,27.2,87,1948,121,940,710,109,819,0,1918,0,1958,2018
49300,36,029,004402,2,460,388,566,28.4,453,940,17,499,88,394,482,0,8,902,940,2018
-666666666,36,029,004402,1,245,353,751,27.6,937,1446,74,803,0,729,729,162,55,1229,1446,2018
126900,36,029,010807,2,-666666666,240,492,-666666666.0,0,532,0,322,306,16,322,0,458,31,532,2018
133200,36,029,010807,4,838,669,1162,51.0,136,1607,49,738,417,272,689,0,1274,40,1607,2018
130300,36,029,010807,3,742,368,653,27.8,30,752,89,478,216,173,389,65,687,18,752,2018
399500,36,029,006302,2,1061,113,974,21.9,125,1132,9,562,269,284,553,37,1008,179,1219,2018
256300,36,029,006302,3,896,86,404,28.1,137,506,43,289,107,139,246,0,438,0,506,2018
133900,36,029,007902,2,-666666666,142,432,-666666666.0,0,652,74,339,265,0,265,14,622,30,652,2018
122300,36,029,007902,1,-666666666,221,713,-666666666.0,58,859,51,431,367,13,380,0,772,57,859,2018
132300,36,029,010803,1,446,384,996,25.4,80,1301,10,579,487,82,569,74,1253,28,1311,2018
121900,36,029,010803,2,599,413,629,21.3,5,492,15,297,151,131,282,0,663,10,678,2018
84700,36,029,001100,2,630,268,475,51.0,71,644,56,340,155,129,284,39,586,29,644,2018
55100,36,029,001100,3,540,416,639,33.3,289,1068,109,537,191,237,428,175,807,110,1068,2018
122000,36,029,009301,1,794,244,744,51.0,82,874,0,420,242,178,420,25,571,41,874,2018
127400,36,029,009701,2,-666666666,544,1214,27.0,69,1644,33,674,606,35,641,11,1538,79,1644,2018
172500,36,029,012002,2,1022,510,1901,23.8,34,2454,63,1098,933,102,1035,7,2383,35,2454,2018
74300,36,029,012300,2,590,387,645,29.9,119,831,23,376,219,134,353,33,692,121,838,2018
-666666666,36,029,012300,1,441,119,223,19.8,152,398,87,249,61,101,162,85,239,36,398,2018
82700,36,029,000600,3,-666666666,302,572,-666666666.0,68,636,42,389,325,22,347,135,438,198,636,2018
119700,36,029,000600,2,-666666666,246,793,-666666666.0,3,1204,58,503,392,53,445,0,1203,1,1204,2018
89100,36,029,000600,4,615,191,924,26.8,311,1268,0,538,397,141,538,1,961,311,1275,2018
87200,36,029,000900,1,508,191,467,18.8,95,682,0,315,183,132,315,188,533,0,682,2018
94900,36,029,000900,2,596,269,692,16.2,42,975,29,444,234,181,415,109,866,0,975,2018
263200,36,029,007102,2,619,98,542,31.8,267,792,62,597,125,410,535,276,506,154,792,2018
138500,36,029,007102,3,672,154,361,33.3,167,507,0,239,94,145,239,324,280,10,507,2018
101800,36,029,007600,3,772,286,806,10.3,9,1078,23,458,404,31,435,0,1068,0,1078,2018
98400,36,029,007800,2,448,540,964,31.6,261,1357,137,794,355,302,657,33,1339,0,1357,2018
179000,36,029,015001,1,-666666666,521,1585,17.8,76,2163,42,859,774,43,817,0,2163,0,2163,2018
240200,36,029,015001,2,-666666666,651,1942,-666666666.0,0,2651,0,1009,963,46,1009,72,2589,11,2651,2018
-666666666,36,029,015001,3,-666666666,312,525,-666666666.0,27,559,86,404,266,52,318,112,559,0,559,2018
201700,36,029,015202,1,-666666666,355,1120,-666666666.0,22,1405,138,791,636,17,653,1,1453,0,1456,2018
161100,36,029,015202,2,705,364,1350,33.0,48,1789,0,766,444,322,766,0,1789,0,1789,2018
158900,36,029,015402,2,-666666666,222,568,-666666666.0,17,811,0,273,273,0,273,61,811,0,811,2018
145400,36,029,015402,3,-666666666,306,911,-666666666.0,0,1249,0,453,435,18,453,61,1188,0,1249,2018
82400,36,029,940000,2,220,318,503,26.2,340,765,91,400,243,66,309,13,44,0,765,2018
34300,36,029,001700,1,345,479,747,43.4,428,1032,142,647,223,282,505,145,534,324,1032,2018
28100,36,029,002900,1,657,140,286,49.1,296,498,67,224,31,126,157,49,63,407,514,2018
51300,36,029,002900,3,520,142,214,38.4,252,504,103,289,62,124,186,0,28,452,504,2018
36100,36,029,002900,4,415,124,275,51.0,51,355,57,272,124,91,215,0,0,321,355,2018
32400,36,029,003100,1,521,197,291,51.0,94,477,181,392,106,105,211,0,12,465,477,2018
-666666666,36,029,003100,4,-666666666,201,266,23.0,152,351,0,201,0,201,201,115,26,229,365,2018
54100,36,029,003301,2,623,249,465,51.0,307,783,38,388,220,130,350,0,21,762,783,2018
134700,36,029,007903,2,-666666666,278,589,-666666666.0,26,774,10,361,333,18,351,56,671,0,774,2018
149300,36,029,007903,3,331,287,1002,9.0,49,1254,0,556,511,45,556,54,1204,0,1280,2018
130000,36,029,008202,1,689,246,647,28.1,54,991,37,438,257,144,401,20,991,0,991,2018
124400,36,029,007904,3,1035,384,1072,46.1,77,1447,92,769,459,218,677,26,1342,8,1447,2018
134100,36,029,007904,1,1018,268,894,23.2,20,1328,0,499,460,39,499,18,1307,16,1328,2018
96700,36,029,008202,4,637,253,578,28.9,121,795,28,389,152,209,361,36,700,21,795,2018
130800,36,029,008202,2,683,99,429,21.4,10,534,56,407,199,152,351,0,531,0,534,2018
29100,36,029,003700,2,552,338,522,38.5,548,1115,87,436,75,274,349,111,271,824,1115,2018
33000,36,029,003700,1,542,389,658,38.8,516,1086,41,492,102,349,451,24,24,974,1093,2018
33300,36,029,003700,3,712,89,154,51.0,67,280,33,132,55,44,99,7,17,154,280,2018
39500,36,029,003700,5,535,199,265,45.0,125,344,80,248,86,82,168,0,58,286,344,2018
110000,36,029,012501,4,652,228,545,51.0,164,891,41,311,175,95,270,119,821,29,891,2018
114700,36,029,012501,2,494,127,331,31.2,150,550,81,350,98,171,269,10,540,0,550,2018
118400,36,029,012501,3,649,578,1030,44.7,415,1542,83,677,364,230,594,26,1502,29,1542,2018
152600,36,029,012501,1,512,497,742,20.7,181,1022,34,598,86,478,564,50,1004,0,1022,2018
154200,36,029,013300,2,628,104,452,46.1,42,623,63,384,164,157,321,25,612,11,623,2018
154300,36,029,013300,1,968,345,1228,23.5,48,1663,45,700,564,91,655,27,1580,25,1663,2018
259900,36,029,013600,1,831,167,865,19.8,8,1189,27,522,342,153,495,0,1146,0,1189,2018
211300,36,029,013600,3,935,74,600,26.1,15,781,0,391,277,114,391,46,756,23,781,2018
179200,36,029,013701,1,729,415,1121,39.6,223,1446,94,686,488,104,592,0,1427,0,1446,2018
135600,36,029,013701,2,829,569,1356,23.1,152,1839,12,851,494,345,839,50,1764,47,1839,2018
86400,36,029,001000,2,556,123,347,32.7,151,495,43,317,129,145,274,0,369,98,495,2018
82600,36,029,001000,4,745,212,502,24.1,144,708,74,367,168,125,293,255,478,136,708,2018
93000,36,029,001000,3,654,273,626,33.2,257,883,38,375,162,175,337,21,861,7,883,2018
75800,36,029,001000,1,668,537,1290,26.6,438,2011,116,751,235,400,635,17,1534,170,2050,2018
76800,36,029,001000,5,606,819,1548,26.9,274,1986,25,889,459,405,864,45,1756,154,1999,2018
34300,36,029,001600,4,432,231,364,34.4,215,489,146,402,47,209,256,2,115,287,489,2018
27000,36,029,001600,2,403,280,479,36.8,466,872,177,522,110,235,345,95,279,438,872,2018
53000,36,029,001600,3,475,71,162,51.0,185,269,109,236,39,88,127,0,64,120,269,2018
-666666666,36,029,001600,1,526,163,368,51.0,558,743,111,496,98,287,385,299,234,426,809,2018
57900,36,029,002300,1,580,393,551,28.1,329,853,99,417,126,192,318,0,648,57,853,2018
53900,36,029,002300,4,527,595,776,39.2,415,1098,83,609,140,386,526,48,808,222,1098,2018
53700,36,029,002300,2,518,322,563,26.8,326,891,45,405,190,170,360,92,689,193,891,2018
46100,36,029,004200,3,724,94,346,51.0,234,639,52,295,109,134,243,0,17,622,639,2018
52200,36,029,004200,4,697,130,306,51.0,398,585,39,256,90,127,217,22,0,555,585,2018
52300,36,029,004200,5,622,278,763,21.5,185,1255,60,554,208,286,494,0,23,1113,1255,2018
179300,36,029,007901,2,922,165,803,23.7,131,1176,75,678,88,515,603,60,835,194,1176,2018
149700,36,029,012901,3,851,794,1879,25.2,214,2498,12,1125,658,455,1113,108,2357,46,2498,2018
141100,36,029,014801,2,638,358,958,26.0,59,1310,10,606,283,313,596,0,1287,0,1310,2018
118000,36,029,014801,1,521,313,663,26.7,81,1024,30,463,263,170,433,42,904,0,1024,2018
55200,36,029,000200,4,531,403,639,20.9,190,923,36,488,183,269,452,183,783,46,923,2018
61500,36,029,000200,2,460,275,457,36.4,449,811,87,416,95,234,329,200,505,63,819,2018
71000,36,029,000200,3,537,343,748,38.2,283,1249,35,531,309,187,496,68,1065,131,1249,2018
58400,36,029,004100,2,576,322,762,27.6,136,1175,54,537,277,206,483,0,7,1108,1175,2018
49000,36,029,004100,1,638,273,730,41.1,483,1413,139,700,223,338,561,62,90,1271,1423,2018
70600,36,029,005900,5,390,465,708,24.8,309,921,118,655,71,466,537,48,471,245,921,2018
62900,36,029,005900,1,496,236,484,13.0,213,872,34,337,143,160,303,375,432,79,872,2018
48600,36,029,005900,4,561,209,337,51.0,342,510,14,274,106,154,260,98,169,134,510,2018
175200,36,029,007303,3,930,445,1663,25.8,293,2136,97,1098,365,636,1001,12,2072,90,2234,2018
197100,36,029,014000,1,670,202,1094,18.8,72,1466,99,760,496,165,661,8,1453,8,1466,2018
180300,36,029,014000,2,733,598,1721,19.6,49,1970,47,879,562,270,832,9,2234,26,2342,2018
137100,36,029,008101,4,681,253,825,20.8,119,1094,0,527,408,119,527,53,1082,0,1094,2018
145200,36,029,008600,6,-666666666,150,665,-666666666.0,39,904,16,403,352,35,387,12,892,0,904,2018
136400,36,029,008600,2,-666666666,108,475,-666666666.0,0,666,45,316,203,68,271,0,666,0,666,2018
161100,36,029,008600,3,-666666666,86,583,-666666666.0,0,711,15,316,238,63,301,22,693,18,711,2018
127000,36,029,008700,4,741,221,619,26.8,113,868,0,334,288,46,334,7,848,20,868,2018
135100,36,029,008700,5,716,132,763,22.6,37,936,78,576,278,220,498,98,936,0,936,2018
122000,36,029,008700,3,733,242,965,29.5,76,1343,38,585,443,104,547,0,1342,1,1343,2018
119900,36,029,008800,1,661,204,580,13.5,22,829,10,329,277,42,319,0,662,152,829,2018
99900,36,029,008800,3,675,392,1170,33.5,129,1437,55,790,550,185,735,7,1221,156,1437,2018
127100,36,029,008101,1,718,324,1124,17.1,109,1300,16,760,539,205,744,0,1303,0,1316,2018
126000,36,029,008101,3,894,185,658,23.5,46,767,0,408,254,154,408,43,636,0,767,2018
179100,36,029,008900,3,719,90,574,17.5,31,705,30,375,314,31,345,34,661,30,705,2018
171500,36,029,008900,4,1082,61,480,36.4,39,678,5,314,256,53,309,29,669,9,678,2018
159200,36,029,008900,1,840,114,662,19.0,23,1008,75,469,278,116,394,27,833,45,1008,2018
144900,36,029,009502,2,736,361,1416,23.1,155,1558,94,857,422,341,763,9,1619,172,1885,2018
174300,36,029,009502,4,-666666666,44,533,-666666666.0,0,777,0,283,283,0,283,54,676,50,777,2018
150600,36,029,009502,1,926,188,766,18.0,100,894,64,499,279,156,435,0,792,121,913,2018
165600,36,029,009502,5,834,57,986,36.5,186,1456,65,770,490,215,705,139,1349,88,1456,2018
147500,36,029,009502,3,1073,283,1164,21.1,73,1638,0,685,546,139,685,13,1512,40,1638,2018
179500,36,029,013102,1,-666666666,256,639,-666666666.0,30,996,15,369,354,0,354,54,982,0,996,2018
79500,36,029,009900,3,556,658,1202,23.5,168,1573,0,737,493,244,737,45,1334,113,1579,2018
68400,36,029,009900,1,514,501,1059,24.4,217,1428,0,636,419,217,636,10,1399,36,1435,2018
90600,36,029,009900,2,608,148,383,51.0,155,570,0,267,140,127,267,38,488,29,570,2018
215500,36,029,013102,4,-666666666,309,1182,-666666666.0,130,1542,0,613,613,0,613,0,1566,0,1596,2018
175200,36,029,013102,2,850,615,1539,23.9,52,2037,42,888,785,61,846,0,1982,0,2037,2018
136900,36,029,013102,3,-666666666,224,611,-666666666.0,20,847,84,411,327,0,327,62,845,2,847,2018
38300,36,029,003500,2,510,181,432,48.9,152,555,278,572,104,190,294,9,0,546,555,2018
47900,36,029,003500,1,463,211,270,51.0,173,298,19,221,106,96,202,13,30,255,298,2018
45700,36,029,003500,4,581,322,685,28.6,145,1115,171,647,234,242,476,0,61,1009,1115,2018
147000,36,029,011700,2,859,296,997,19.5,86,1427,40,584,422,122,544,34,1412,0,1427,2018
100400,36,029,011700,1,553,278,430,41.7,126,591,19,371,239,113,352,0,584,0,591,2018
70300,36,029,012400,1,672,205,369,32.3,124,585,44,290,145,101,246,143,405,38,585,2018
307500,36,029,006702,1,783,62,569,30.9,113,681,62,588,139,387,526,43,495,146,681,2018
363300,36,029,006702,3,713,284,680,33.5,259,736,155,711,72,484,556,95,489,116,760,2018
28100,36,029,002702,1,337,207,573,32.7,348,1025,66,349,116,167,283,21,223,259,1025,2018
-666666666,36,029,002702,4,517,336,489,51.0,613,805,100,412,102,210,312,33,123,183,805,2018
158300,36,029,009107,1,1088,327,842,27.8,458,1557,35,504,222,247,469,361,853,432,1557,2018
