Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
146700,36,029,015202,3,745,245,1237,25.3,112,1954,82,802,572,148,720,18,1948,6,1954,2014
132300,36,029,015301,1,434,254,732,27.6,82,979,41,482,343,98,441,0,1028,0,1031,2014
137700,36,029,015301,2,-666666666,568,1187,-666666666.0,101,1520,10,629,573,46,619,21,1533,0,1533,2014
168100,36,029,015301,3,713,462,1463,26.7,48,2183,65,844,739,40,779,37,2177,3,2183,2014
174600,36,029,015302,1,-666666666,185,656,-666666666.0,0,912,39,367,316,12,328,19,912,0,912,2014
164200,36,029,015302,2,1058,556,972,30.0,86,1167,0,501,389,112,501,10,1189,0,1189,2014
170400,36,029,015302,3,-666666666,303,650,-666666666.0,45,847,0,351,341,10,351,0,856,0,856,2014
101600,36,029,015401,1,756,347,964,28.7,123,1351,27,622,454,141,595,0,1318,22,1351,2014
95100,36,029,015401,2,541,371,759,23.1,132,1171,8,451,384,59,443,20,1171,0,1171,2014
163500,36,029,015402,1,712,474,915,42.3,24,1188,113,567,414,40,454,19,1175,0,1188,2014
169500,36,029,015402,2,-666666666,165,427,-666666666.0,134,829,43,248,205,0,205,0,829,0,829,2014
121200,36,029,015402,3,-666666666,452,1283,-666666666.0,165,1922,41,761,656,64,720,89,1758,0,1922,2014
122400,36,029,015402,4,397,692,1172,36.5,244,1537,47,668,499,122,621,26,1481,0,1537,2014
104000,36,029,015501,1,434,550,1241,39.9,226,1813,123,888,568,197,765,49,1721,0,1813,2014
111000,36,029,015503,1,378,434,932,32.2,151,1205,78,618,425,115,540,9,1090,36,1205,2014
80700,36,029,015503,2,568,526,992,41.4,143,1250,94,682,457,131,588,7,1220,2,1250,2014
83600,36,029,015504,1,863,545,879,37.9,145,1192,103,621,469,49,518,26,1147,0,1192,2014
139500,36,029,015504,2,593,310,885,18.1,148,1198,168,679,435,76,511,10,1181,1,1198,2014
110900,36,029,015504,3,-666666666,168,269,-666666666.0,10,361,65,221,147,9,156,0,361,0,361,2014
96400,36,029,015504,4,621,325,829,35.4,56,1317,76,541,364,101,465,10,1234,0,1317,2014
111000,36,029,015600,1,529,470,952,23.3,129,1247,118,662,412,132,544,8,1218,3,1253,2014
122200,36,029,015600,2,381,260,572,25.7,93,805,35,336,260,41,301,92,648,0,805,2014
140100,36,029,015700,1,-666666666,376,770,-666666666.0,42,1022,7,418,372,39,411,10,1016,5,1022,2014
110400,36,029,015700,2,-666666666,296,622,-666666666.0,98,846,32,332,253,47,300,0,876,0,896,2014
91500,36,029,015700,3,718,202,583,48.3,29,819,26,321,271,24,295,0,802,0,819,2014
101700,36,029,015700,4,483,266,478,24.2,67,782,50,324,166,108,274,0,769,0,782,2014
167700,36,029,015800,1,398,573,1335,24.0,107,1831,119,918,669,130,799,0,1796,0,1843,2014
130000,36,029,015800,2,342,930,1706,29.7,240,2373,74,983,814,95,909,0,2349,8,2373,2014
106500,36,029,015900,1,482,917,1711,34.7,397,2361,12,1054,616,426,1042,14,2377,51,2467,2014
127800,36,029,015900,2,579,507,1402,31.4,143,1761,74,925,565,286,851,87,1757,24,1851,2014
-666666666,36,029,016100,1,-666666666,1758,2274,-666666666.0,3,27,0,0,0,0,0,511,1129,910,2580,2014
81400,36,029,016200,1,474,469,859,31.6,102,917,79,570,270,221,491,209,785,126,1055,2014
96000,36,029,016200,2,446,296,715,31.4,54,1007,0,462,392,70,462,27,911,47,1036,2014
28200,36,029,016300,1,504,483,684,47.9,262,900,43,446,167,236,403,150,750,0,900,2014
34100,36,029,016300,2,538,246,414,50.0,316,762,63,303,103,137,240,0,509,253,762,2014
39500,36,029,016300,3,413,419,596,19.6,207,900,146,549,236,167,403,87,836,4,900,2014
-666666666,36,029,016400,1,301,216,511,25.2,396,831,79,582,0,503,503,60,114,704,831,2014
36900,36,029,016400,2,381,365,524,28.5,212,803,197,555,122,236,358,14,678,90,803,2014
52200,36,029,016400,3,508,270,451,37.5,93,544,22,278,151,105,256,35,256,165,544,2014
64700,36,029,016400,4,553,317,540,36.1,271,938,22,352,126,204,330,268,167,612,938,2014
300000,36,029,016500,1,835,469,1058,25.8,431,1107,162,862,36,664,700,233,1000,391,1595,2014
24200,36,029,016600,1,430,317,401,46.3,88,682,115,371,161,95,256,0,10,577,682,2014
18600,36,029,016600,2,352,360,410,40.3,370,655,44,341,136,161,297,0,0,655,655,2014
22000,36,029,016600,3,419,132,263,28.1,78,371,24,211,154,33,187,1,14,357,371,2014
45000,36,029,016600,4,491,267,595,43.3,334,988,158,546,136,252,388,8,27,982,1009,2014
76300,36,029,016700,1,453,246,494,36.3,130,804,67,423,275,81,356,18,815,0,815,2014
57700,36,029,016700,2,350,262,429,23.7,34,561,61,372,168,143,311,8,546,0,561,2014
70200,36,029,016700,3,503,459,720,20.0,247,983,57,481,277,147,424,195,925,36,983,2014
27300,36,029,016800,1,518,199,489,25.8,382,811,286,577,153,138,291,17,23,798,822,2014
47900,36,029,016800,2,466,314,795,28.6,582,1475,179,811,180,452,632,175,97,1307,1482,2014
71300,36,029,016800,3,494,247,340,37.7,156,458,184,405,44,177,221,0,15,356,473,2014
53600,36,029,016800,4,509,411,647,43.9,57,852,210,594,184,200,384,50,33,804,893,2014
279100,36,029,016900,1,765,0,764,23.0,84,1007,129,640,235,276,511,24,984,14,1007,2014
204200,36,029,016900,2,779,7,448,35.8,179,597,0,386,163,223,386,10,500,37,597,2014
79400,36,029,016900,3,661,270,794,37.1,186,1079,133,645,194,318,512,110,544,432,1204,2014
85300,36,029,016900,4,535,132,298,33.9,191,484,144,353,81,128,209,34,642,407,1156,2014
44800,36,029,017000,1,474,294,516,49.3,138,877,151,603,186,266,452,30,22,837,877,2014
51100,36,029,017000,2,522,704,1290,48.4,614,1837,227,929,356,346,702,12,165,1709,1983,2014
63800,36,029,017100,1,550,281,345,50.0,740,909,144,391,88,159,247,327,95,360,909,2014
53200,36,029,017100,2,561,444,654,26.7,651,1186,94,428,158,176,334,165,137,687,1203,2014
65000,36,029,017100,3,560,337,446,50.0,820,1072,119,461,46,296,342,352,483,250,1072,2014
38500,36,029,017100,4,570,268,593,47.2,554,1094,21,279,182,76,258,33,309,275,1094,2014
27700,36,029,017100,5,466,401,653,27.7,304,853,125,366,91,150,241,219,548,234,998,2014
76000,36,029,017200,1,483,280,485,12.3,25,655,0,312,212,100,312,1,648,0,687,2014
75500,36,029,017200,2,475,307,437,29.5,317,550,0,321,68,253,321,38,433,0,550,2014
82600,36,029,017200,3,612,322,699,21.9,107,935,67,489,278,144,422,0,910,0,935,2014
150800,36,029,017300,1,-666666666,460,1609,-666666666.0,84,2520,0,910,885,25,910,43,2477,0,2520,2014
136300,36,029,017300,2,594,248,685,14.7,96,927,45,506,389,72,461,2,920,20,970,2014
152600,36,029,017300,3,817,460,1702,26.4,0,2234,152,1113,860,101,961,18,2203,0,2234,2014
128800,36,029,017300,4,584,233,842,26.2,58,1118,0,417,316,101,417,0,1104,0,1118,2014
66800,36,029,017400,1,417,450,830,50.0,890,1525,175,625,214,236,450,135,1120,298,1559,2014
52500,36,029,017400,2,519,398,609,37.8,257,940,0,367,281,86,367,176,712,37,940,2014
59900,36,029,017400,3,403,340,498,40.4,464,961,61,369,85,223,308,278,305,526,961,2014
-666666666,36,029,017400,4,314,142,261,23.8,324,564,48,338,5,285,290,70,57,475,564,2014
88500,36,029,017501,1,487,274,488,29.6,105,573,14,316,219,83,302,13,549,17,620,2014
78100,36,029,017501,2,488,338,607,31.2,148,818,50,422,204,168,372,1,682,0,818,2014
85300,36,029,017502,1,530,483,949,17.5,197,1301,54,529,427,48,475,0,1294,7,1301,2014
95000,36,029,017502,2,488,511,891,22.8,59,1200,63,551,447,41,488,0,1166,4,1200,2014
74600,36,029,940000,1,455,406,748,30.4,328,1235,74,526,343,109,452,84,70,0,1242,2014
41300,36,029,940000,2,-666666666,215,421,-666666666.0,176,615,63,327,213,51,264,94,12,4,626,2014
-666666666,36,029,940100,1,-666666666,5,5,-666666666.0,0,17,0,3,3,0,3,0,0,0,17,2014
-666666666,36,029,990000,0,-666666666,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,2014
