Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
164800,36,029,015002,1,504,511,1652,27.2,181,2323,58,975,826,91,917,20,2277,0,2323,2016
206800,36,029,015002,2,-666666666,267,563,-666666666.0,0,714,56,324,257,11,268,22,601,0,714,2016
164400,36,029,015003,1,534,815,1650,25.8,195,2267,81,1080,878,121,999,0,2223,0,2279,2016
119000,36,029,015003,2,288,397,848,14.1,179,1098,35,524,336,153,489,24,1106,1,1107,2016
169500,36,029,015101,1,538,478,1239,37.2,177,1788,9,735,626,100,726,0,1763,0,1788,2016
238900,36,029,015101,2,506,204,509,25.6,0,586,68,359,242,49,291,0,581,0,586,2016
173900,36,029,015101,3,-666666666,342,713,-666666666.0,17,920,5,356,330,21,351,0,908,1,920,2016
158300,36,029,015102,1,533,554,1116,14.5,139,1570,18,572,486,68,554,20,1569,0,1588,2016
138200,36,029,015102,2,860,469,886,30.5,100,1198,34,534,435,65,500,20,1193,0,1198,2016
271900,36,029,015201,1,339,253,731,12.5,40,987,0,398,361,37,398,0,987,0,987,2016
177900,36,029,015201,2,630,545,1767,41.5,156,2310,57,912,803,52,855,53,2264,53,2329,2016
192200,36,029,015202,1,-666666666,331,1253,-666666666.0,26,1606,103,764,619,42,661,0,1645,0,1646,2016
148700,36,029,015202,2,633,471,1211,33.8,60,1550,41,725,362,322,684,0,1550,0,1550,2016
158200,36,029,015202,3,722,276,1109,24.3,77,1522,84,779,496,199,695,30,1516,6,1522,2016
122000,36,029,015301,1,533,338,809,25.4,76,1055,9,471,330,132,462,0,1090,0,1092,2016
164400,36,029,015301,2,425,579,1232,30.9,66,1610,41,674,578,55,633,51,1557,0,1610,2016
170400,36,029,015301,3,-666666666,489,1501,-666666666.0,36,2170,75,886,764,47,811,20,2167,3,2170,2016
203600,36,029,015302,1,-666666666,207,657,-666666666.0,4,859,39,362,300,23,323,19,859,0,859,2016
153100,36,029,015302,2,-666666666,491,958,21.4,41,1154,0,526,382,144,526,15,1154,0,1154,2016
154300,36,029,015302,3,-666666666,287,622,-666666666.0,34,800,12,339,327,0,327,5,803,0,808,2016
120900,36,029,015401,1,746,436,983,26.9,83,1542,50,643,437,156,593,0,1512,23,1542,2016
93400,36,029,015401,2,624,360,761,24.6,177,1048,8,481,391,82,473,0,1048,0,1048,2016
146500,36,029,015402,1,600,314,932,13.3,52,1272,130,658,456,72,528,81,1250,0,1272,2016
153700,36,029,015402,2,-666666666,162,429,-666666666.0,87,595,50,251,201,0,201,0,595,0,595,2016
121700,36,029,015402,3,-666666666,392,991,-666666666.0,139,1456,39,585,546,0,546,95,1375,0,1456,2016
103900,36,029,015402,4,459,754,1298,37.5,323,1636,115,801,547,139,686,22,1601,0,1636,2016
110200,36,029,015501,1,512,506,1307,29.4,205,1879,130,926,570,226,796,64,1773,67,1879,2016
127200,36,029,015503,1,434,453,1023,28.1,105,1395,113,670,485,72,557,32,1322,21,1395,2016
87300,36,029,015503,2,563,446,968,33.9,99,1246,109,680,443,128,571,6,1215,0,1246,2016
87200,36,029,015504,1,845,541,843,38.8,161,1123,71,564,405,88,493,40,1057,0,1123,2016
135600,36,029,015504,2,-666666666,364,975,-666666666.0,94,1361,143,693,478,72,550,17,1326,16,1361,2016
87400,36,029,015504,3,-666666666,236,358,-666666666.0,12,479,61,289,209,19,228,0,479,0,479,2016
97200,36,029,015504,4,629,328,800,24.3,116,1267,162,632,400,70,470,30,1208,0,1267,2016
113400,36,029,015600,1,537,357,845,23.9,121,1122,143,651,377,131,508,19,1061,11,1122,2016
144500,36,029,015600,2,475,302,648,33.8,51,991,16,402,343,43,386,0,885,0,991,2016
148400,36,029,015700,1,-666666666,348,803,-666666666.0,23,1013,7,421,387,27,414,6,1025,7,1032,2016
117100,36,029,015700,2,-666666666,280,561,-666666666.0,85,709,35,318,254,29,283,0,747,0,767,2016
91800,36,029,015700,3,522,241,521,26.9,30,729,25,298,246,27,273,4,661,9,729,2016
102000,36,029,015700,4,506,294,594,26.6,64,994,42,371,192,137,329,30,944,5,994,2016
177000,36,029,015800,1,-666666666,782,1588,23.5,88,2251,110,984,713,161,874,0,2227,0,2259,2016
122600,36,029,015800,2,345,639,1397,26.3,87,1958,72,923,755,96,851,0,1950,8,1958,2016
106600,36,029,015900,1,551,975,1742,26.3,308,2469,11,1060,599,450,1049,12,2464,35,2544,2016
125300,36,029,015900,2,584,527,1335,26.8,157,1674,42,841,543,256,799,109,1674,28,1790,2016
58300,36,029,001000,1,629,562,1241,29.0,437,1833,128,732,253,351,604,14,1421,221,1867,2016
90100,36,029,001000,2,444,219,444,19.9,172,698,41,354,109,204,313,0,562,103,698,2016
57700,36,029,001000,3,620,354,552,32.5,338,893,37,391,92,262,354,22,864,7,893,2016
75900,36,029,001000,4,544,202,404,32.5,124,575,37,310,151,122,273,24,533,42,575,2016
73000,36,029,001000,5,502,763,1308,26.8,199,1646,60,854,402,392,794,111,1442,123,1646,2016
71100,36,029,001100,1,521,522,975,40.5,261,1245,51,733,355,327,682,38,1174,26,1266,2016
69000,36,029,001100,2,577,301,415,50.0,109,551,71,300,163,66,229,43,504,0,551,2016
61800,36,029,001100,3,554,347,572,44.7,358,1026,90,472,132,250,382,154,773,96,1026,2016
85800,36,029,001402,1,349,394,602,31.4,333,839,51,538,41,446,487,0,0,839,839,2016
-666666666,36,029,001402,2,232,135,226,31.6,196,387,156,422,0,266,266,27,27,360,387,2016
72300,36,029,001402,3,505,277,793,32.0,349,1099,0,563,95,468,563,13,81,947,1099,2016
108700,36,029,001402,4,381,227,362,13.3,77,418,127,408,122,159,281,78,58,262,418,2016
39900,36,029,001500,1,408,140,332,50.0,85,428,30,224,145,49,194,4,39,371,428,2016
61700,36,029,001500,2,436,513,767,39.1,450,1000,113,626,174,339,513,29,73,894,1000,2016
25400,36,029,001600,1,503,145,321,50.0,302,527,122,432,87,223,310,44,113,380,527,2016
23300,36,029,001600,2,429,254,409,37.9,265,693,196,548,84,268,352,26,156,427,693,2016
-666666666,36,029,001600,3,469,56,86,50.0,139,174,118,218,42,58,100,19,44,111,174,2016
30600,36,029,001600,4,465,286,369,50.0,342,581,139,428,50,239,289,1,105,426,599,2016
28400,36,029,001700,1,329,539,733,46.5,503,1040,142,648,244,262,506,47,699,241,1040,2016
-666666666,36,029,001700,2,385,259,395,45.0,216,690,58,313,88,167,255,64,345,248,690,2016
68100,36,029,001900,1,670,526,966,27.9,211,1252,72,711,375,264,639,90,1134,78,1295,2016
71700,36,029,001900,2,500,366,957,50.0,131,1270,59,629,504,66,570,10,1279,0,1279,2016
62100,36,029,001900,3,-666666666,148,338,33.1,54,478,52,263,133,78,211,0,311,139,478,2016
57200,36,029,002300,1,526,414,605,42.1,409,861,111,451,79,261,340,0,796,50,861,2016
45700,36,029,002300,2,518,368,588,27.5,457,1005,18,401,156,227,383,84,731,266,1005,2016
52700,36,029,002300,3,615,157,560,43.4,211,941,7,231,167,57,224,0,844,0,941,2016
48100,36,029,002300,4,416,528,699,33.8,344,962,74,534,130,330,460,47,752,177,968,2016
-666666666,36,029,002400,1,401,130,282,50.0,343,524,192,464,89,183,272,60,244,280,524,2016
18400,36,029,002400,2,408,210,290,47.2,152,421,37,233,55,141,196,29,156,236,421,2016
48200,36,029,002400,3,447,318,673,28.2,204,882,109,516,198,209,407,47,832,9,882,2016
50800,36,029,002400,4,410,341,580,34.7,290,1021,29,414,167,218,385,92,706,162,1021,2016
50600,36,029,002400,5,403,286,458,47.2,185,643,27,286,163,96,259,104,516,31,643,2016
51400,36,029,002400,6,413,335,459,24.7,104,586,46,320,198,76,274,2,554,7,586,2016
53800,36,029,002502,1,238,241,663,27.6,351,959,52,563,27,484,511,101,176,666,976,2016
80100,36,029,002502,2,469,324,720,50.0,150,1049,69,592,351,172,523,0,41,980,1053,2016
18100,36,029,002702,1,244,116,359,22.7,217,701,78,277,98,101,199,18,104,195,701,2016
