Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
46700,36,029,004300,3,682,314,538,50.0,586,1018,143,479,135,201,336,0,87,931,1018,2013
120900,36,029,004300,4,-666666666,12,283,-666666666.0,0,377,0,164,164,0,164,0,140,237,377,2013
65400,36,029,004300,5,624,170,395,41.6,314,1086,0,366,52,314,366,0,86,973,1086,2013
39200,36,029,004300,6,536,194,353,50.0,584,788,159,501,117,225,342,34,104,650,788,2013
54400,36,029,004300,7,-666666666,111,232,-666666666.0,43,292,33,189,119,37,156,11,39,242,292,2013
66000,36,029,004401,1,688,242,522,48.8,222,943,52,372,171,149,320,0,128,815,943,2013
38300,36,029,004401,2,630,293,638,36.9,283,993,111,513,221,181,402,19,83,894,993,2013
50600,36,029,004401,3,524,302,725,47.7,272,1063,100,701,295,306,601,0,31,1032,1063,2013
69600,36,029,004401,4,662,387,617,38.4,297,882,80,572,66,426,492,18,79,778,882,2013
-666666666,36,029,004402,1,237,454,699,24.5,1033,1693,50,769,24,695,719,104,32,1597,1702,2013
59600,36,029,004402,2,359,235,581,29.1,560,984,23,525,174,328,502,0,19,926,984,2013
94400,36,029,004500,1,603,148,669,15.6,47,1034,51,601,248,302,550,9,571,308,1034,2013
96500,36,029,004500,2,733,500,845,24.9,216,1015,65,646,146,435,581,0,48,898,1049,2013
124500,36,029,004500,3,662,384,1007,40.8,61,1299,33,594,478,83,561,33,1112,153,1299,2013
368600,36,029,004500,4,630,118,704,18.7,28,1095,0,340,278,62,340,214,769,326,1095,2013
161400,36,029,004500,5,846,96,734,26.0,200,966,0,360,189,171,360,0,786,71,969,2013
119900,36,029,004500,6,779,34,245,27.5,25,314,33,206,133,40,173,22,292,22,314,2013
76200,36,029,004601,1,830,207,452,37.0,143,758,0,290,227,63,290,32,491,156,758,2013
74400,36,029,004601,2,600,101,504,26.3,130,849,38,373,178,157,335,12,327,243,856,2013
163300,36,029,004601,3,700,110,530,42.6,177,815,8,371,225,138,363,0,514,185,815,2013
91400,36,029,004601,4,688,35,404,35.1,452,1040,64,408,85,259,344,51,467,15,1040,2013
-666666666,36,029,004602,1,-666666666,28,118,-666666666.0,3,18,0,4,4,0,4,162,673,202,1380,2013
78800,36,029,004700,1,534,277,761,14.2,255,1050,72,475,209,194,403,0,326,685,1050,2013
61800,36,029,004700,2,675,181,478,49.8,194,888,82,457,194,181,375,0,100,582,888,2013
54100,36,029,004700,3,624,317,761,39.1,228,1552,133,629,264,232,496,0,73,1411,1552,2013
60400,36,029,004700,4,570,295,754,40.6,447,1234,36,652,212,404,616,22,236,876,1234,2013
48200,36,029,004700,5,543,442,829,50.0,711,1592,183,840,299,358,657,117,565,523,1592,2013
137100,36,029,004800,1,600,196,952,18.2,67,1636,31,649,431,187,618,128,1274,285,1636,2013
191100,36,029,004800,2,640,313,997,34.5,66,1468,26,651,388,237,625,54,1176,290,1468,2013
163100,36,029,004800,3,621,153,900,24.4,56,1272,0,613,326,287,613,123,1129,49,1280,2013
127800,36,029,004900,1,589,460,1307,27.8,118,1555,0,865,425,440,865,0,1222,318,1555,2013
124300,36,029,004900,2,626,259,993,23.3,400,1523,132,852,327,393,720,152,1180,121,1523,2013
93300,36,029,004900,3,654,54,550,26.1,97,666,26,348,168,154,322,51,393,183,666,2013
112400,36,029,004900,4,662,222,494,27.9,43,507,37,323,174,112,286,0,439,37,507,2013
105200,36,029,004900,5,656,353,1046,31.2,253,1529,92,811,398,321,719,67,1131,281,1529,2013
88000,36,029,005000,1,620,220,734,34.4,164,903,0,524,266,258,524,172,471,320,909,2013
85600,36,029,005000,2,528,154,449,30.6,225,579,0,290,123,167,290,0,386,184,579,2013
58600,36,029,005000,3,524,160,599,29.4,296,852,72,474,166,236,402,0,421,431,852,2013
95800,36,029,005100,1,554,422,1267,38.1,171,1492,75,938,428,435,863,40,1179,273,1492,2013
82300,36,029,005100,2,444,308,511,34.9,157,623,0,435,54,381,435,42,502,99,623,2013
97000,36,029,005100,3,626,282,1049,25.0,267,1500,0,744,137,607,744,296,1084,323,1500,2013
130000,36,029,005100,4,617,364,767,30.6,128,963,21,396,202,173,375,0,892,44,966,2013
183500,36,029,005201,1,568,56,643,22.3,81,776,142,525,183,200,383,5,720,28,776,2013
127000,36,029,005201,2,631,71,423,24.4,70,648,0,292,173,119,292,0,586,17,648,2013
250000,36,029,005201,3,449,125,390,35.2,188,408,29,254,80,145,225,55,212,287,517,2013
186100,36,029,005201,4,577,90,647,50.0,191,811,46,505,200,259,459,21,641,170,835,2013
64900,36,029,005202,1,556,174,328,31.4,295,624,104,377,171,102,273,81,863,392,1517,2013
56900,36,029,005202,2,565,341,860,25.7,318,1162,133,677,152,392,544,14,168,963,1162,2013
166800,36,029,005300,1,713,44,435,23.0,56,513,29,291,147,115,262,21,435,97,635,2013
212500,36,029,005300,2,247,164,325,26.8,169,326,21,273,21,231,252,42,450,334,919,2013
316900,36,029,005400,1,831,135,967,24.5,166,1319,59,776,295,422,717,131,1003,136,1319,2013
156300,36,029,005400,2,570,145,517,27.7,65,656,71,432,102,259,361,0,531,102,656,2013
222300,36,029,005400,3,-666666666,90,526,-666666666.0,52,687,0,307,268,39,307,0,651,36,687,2013
215600,36,029,005400,4,950,184,841,18.3,115,1373,0,554,339,215,554,14,1016,194,1373,2013
44700,36,029,005500,1,575,326,519,41.9,317,914,108,455,122,225,347,112,558,102,914,2013
46000,36,029,005500,2,475,384,688,26.7,517,1274,83,670,66,521,587,440,788,177,1274,2013
39500,36,029,005500,3,362,280,464,50.0,398,697,165,485,186,134,320,145,518,34,697,2013
55600,36,029,005500,4,469,278,488,50.0,674,926,61,450,88,301,389,96,361,395,926,2013
59400,36,029,005600,1,294,232,324,33.8,362,589,40,309,37,232,269,91,267,291,589,2013
71000,36,029,005600,2,-666666666,223,482,-666666666.0,47,649,0,289,237,52,289,151,480,110,649,2013
65700,36,029,005600,3,582,283,918,43.4,516,1358,80,652,167,405,572,230,604,464,1358,2013
32700,36,029,005600,4,435,263,466,25.1,486,917,142,479,76,261,337,450,486,176,917,2013
67200,36,029,005600,5,460,266,435,27.7,55,663,48,295,92,155,247,20,417,95,663,2013
61300,36,029,005700,1,335,290,427,27.4,360,814,90,438,66,282,348,305,334,296,814,2013
47100,36,029,005700,2,414,362,566,19.6,178,767,54,379,110,215,325,253,689,69,767,2013
37400,36,029,005700,3,427,332,702,25.0,193,886,151,513,189,173,362,107,698,167,916,2013
55600,36,029,005801,1,405,440,860,39.1,380,1410,74,618,355,189,544,37,1250,21,1420,2013
66300,36,029,005801,2,547,306,626,19.8,312,1131,68,496,209,219,428,78,1034,92,1131,2013
54800,36,029,005801,3,521,302,533,33.8,217,750,0,375,133,242,375,89,617,44,750,2013
34800,36,029,005802,1,458,418,604,33.4,390,1093,32,402,122,248,370,187,765,124,1116,2013
52100,36,029,005802,2,492,450,744,34.1,305,1101,148,589,237,204,441,193,915,137,1101,2013
48500,36,029,005802,3,417,249,423,50.0,533,879,69,331,86,176,262,72,403,66,879,2013
53900,36,029,005802,4,620,518,790,50.0,293,1328,63,621,359,199,558,266,1095,165,1328,2013
40200,36,029,005900,1,483,262,473,22.1,176,762,0,276,149,127,276,279,494,0,762,2013
39500,36,029,005900,2,473,300,448,50.0,406,777,26,327,85,216,301,208,551,101,777,2013
38500,36,029,005900,3,474,247,348,44.8,149,488,85,349,105,159,264,132,193,132,488,2013
51700,36,029,005900,4,405,488,574,41.2,223,783,32,388,174,182,356,79,528,34,783,2013
59600,36,029,005900,5,430,493,775,33.7,502,1188,0,589,81,508,589,247,848,127,1188,2013
39100,36,029,006100,1,439,437,859,23.7,342,1199,123,552,207,222,429,253,615,33,1222,2013
57300,36,029,006100,2,542,184,495,49.5,374,946,47,373,76,250,326,258,499,313,946,2013
47500,36,029,006100,3,515,276,448,21.5,179,666,96,321,55,170,225,131,547,85,666,2013
47200,36,029,006100,4,474,522,775,45.8,898,1363,122,557,97,338,435,182,309,862,1363,2013
55400,36,029,006100,5,513,186,447,38.6,324,715,76,457,100,281,381,204,194,412,715,2013
-666666666,36,029,006201,1,-666666666,0,9,-666666666.0,0,0,0,0,0,0,0,201,1109,400,1918,2013
148800,36,029,006301,1,602,148,671,19.3,396,1101,0,474,131,343,474,245,869,0,1101,2013
334000,36,029,006301,2,746,64,720,22.5,200,1096,0,523,128,395,523,15,966,18,1096,2013
201700,36,029,006301,3,660,118,579,13.7,106,763,0,366,169,197,366,34,645,55,763,2013
119100,36,029,006301,4,510,423,883,50.0,563,1421,118,731,247,366,613,254,799,36,1421,2013
58200,36,029,006301,5,489,115,286,26.9,163,545,45,272,36,191,227,79,314,217,545,2013
293500,36,029,006302,1,766,68,692,41.0,83,894,72,503,197,234,431,56,883,1,894,2013
236300,36,029,006302,2,726,153,889,27.1,82,1174,33,543,278,232,510,85,1213,39,1274,2013
221400,36,029,006302,3,527,46,466,50.0,98,638,0,327,171,156,327,0,638,0,638,2013
201000,36,029,006501,1,809,73,748,25.9,95,962,17,446,171,258,429,107,666,1,962,2013
325900,36,029,006501,2,789,121,457,23.0,131,625,68,414,105,241,346,27,538,57,625,2013
95600,36,029,006501,3,634,141,432,35.1,177,705,135,410,138,137,275,42,472,46,705,2013
55900,36,029,006501,4,456,111,340,33.8,187,653,52,315,73,190,263,133,358,131,653,2013
162500,36,029,006601,1,564,73,273,50.0,174,343,53,275,44,178,222,89,177,39,343,2013
180900,36,029,006601,2,665,156,953,40.7,343,1441,36,737,243,458,701,109,1200,52,1441,2013
109100,36,029,006601,3,417,437,756,35.7,529,1235,26,399,110,263,373,296,378,63,1235,2013
205300,36,029,006602,1,678,67,569,46.1,72,705,54,510,266,190,456,50,671,0,705,2013
246100,36,029,006602,2,857,193,628,24.4,35,598,90,416,85,241,326,6,613,133,792,2013
322200,36,029,006602,3,583,176,548,42.3,295,708,94,575,28,453,481,203,409,184,708,2013
