Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
212100,36,029,006701,1,570,289,1169,23.8,149,1289,78,921,186,657,843,53,1058,228,1339,2013
116600,36,029,006701,2,574,190,701,22.7,106,910,96,578,129,353,482,274,530,0,910,2013
207400,36,029,006701,3,666,178,810,28.7,193,1003,151,842,93,598,691,63,668,240,1003,2013
283200,36,029,006702,1,670,151,962,31.1,184,1187,73,857,127,657,784,0,857,203,1187,2013
-666666666,36,029,006702,2,669,179,1104,25.4,314,1309,67,1152,12,1073,1085,67,699,506,1309,2013
284600,36,029,006702,3,624,72,560,23.8,112,685,11,445,138,296,434,16,623,30,716,2013
210800,36,029,006800,1,554,143,652,36.1,188,995,65,546,172,309,481,272,723,99,995,2013
280800,36,029,006800,2,747,149,616,22.5,94,820,137,678,74,467,541,25,673,102,834,2013
69200,36,029,006800,3,467,158,560,37.7,370,869,93,483,123,267,390,249,495,99,869,2013
214600,36,029,006800,4,697,168,865,20.4,453,1244,74,633,120,439,559,14,1071,74,1244,2013
37400,36,029,006901,1,540,223,426,45.7,243,947,88,345,78,179,257,301,338,425,947,2013
53600,36,029,006901,2,506,489,616,50.0,498,1010,43,400,73,284,357,238,514,244,1010,2013
24400,36,029,006901,3,431,395,586,49.0,823,1190,137,601,76,388,464,501,358,172,1190,2013
42900,36,029,006901,4,523,227,284,27.9,203,413,114,284,22,148,170,123,97,86,413,2013
98600,36,029,006902,1,444,465,1008,50.0,532,1314,69,788,302,417,719,317,594,301,1349,2013
110600,36,029,006902,2,450,463,903,19.1,278,1048,30,493,174,289,463,371,573,89,1068,2013
36000,36,029,006902,3,193,256,463,33.9,469,755,21,422,126,275,401,355,242,150,755,2013
62900,36,029,006902,4,653,379,541,50.0,522,855,74,459,100,285,385,289,544,169,1007,2013
66300,36,029,007000,1,468,327,490,50.0,798,1007,109,482,160,213,373,502,279,277,1007,2013
68800,36,029,007000,2,475,255,426,34.1,295,658,178,560,83,299,382,297,242,123,658,2013
83100,36,029,007000,3,530,254,657,37.5,359,1163,88,470,190,192,382,431,554,276,1278,2013
421200,36,029,007101,1,432,275,472,24.9,324,761,65,422,52,305,357,369,416,83,761,2013
22300,36,029,007101,2,266,389,562,33.9,514,1089,82,528,67,379,446,536,506,421,1089,2013
83400,36,029,007101,3,395,366,674,37.5,352,923,162,568,129,277,406,669,154,148,923,2013
-666666666,36,029,007101,4,405,258,475,50.0,647,881,96,492,8,388,396,379,329,411,881,2013
-666666666,36,029,007102,1,547,670,893,37.3,1098,1531,132,861,0,729,729,666,481,797,1701,2013
142800,36,029,007102,2,434,159,407,30.7,244,536,69,409,71,269,340,212,308,53,536,2013
56100,36,029,007102,3,273,202,418,50.0,331,625,126,369,161,82,243,146,279,259,625,2013
340300,36,029,007202,1,457,368,1285,19.1,200,1854,97,1014,278,639,917,604,1266,244,1854,2013
113300,36,029,007302,1,728,177,799,17.8,15,1191,82,560,406,72,478,109,1191,0,1191,2013
98900,36,029,007302,2,-666666666,164,491,28.3,170,697,0,314,259,55,314,0,697,0,697,2013
208200,36,029,007302,3,-666666666,59,623,-666666666.0,73,837,0,319,319,0,319,9,837,0,837,2013
216400,36,029,007302,4,591,413,1773,24.7,148,2546,0,974,837,137,974,0,2433,70,2549,2013
165200,36,029,007302,5,-666666666,305,990,-666666666.0,75,1439,0,493,464,29,493,37,1308,9,1439,2013
126700,36,029,007302,6,498,397,808,27.3,117,1196,30,531,406,95,501,66,1072,33,1196,2013
132500,36,029,007303,1,-666666666,200,741,-666666666.0,200,987,38,394,336,20,356,0,1011,0,1028,2013
202100,36,029,007303,2,782,378,1606,27.1,124,2424,90,1013,602,321,923,128,2192,139,2424,2013
163900,36,029,007303,3,925,506,1531,30.4,117,2027,0,1038,292,746,1038,105,1901,42,2113,2013
206300,36,029,007303,4,-666666666,268,1069,-666666666.0,62,1639,0,531,520,11,531,5,1424,12,1639,2013
231100,36,029,007304,1,-666666666,412,1591,-666666666.0,69,2268,83,925,815,27,842,31,2098,0,2268,2013
197800,36,029,007304,2,722,442,2032,10.0,67,3066,33,1138,1044,61,1105,26,2985,9,3088,2013
94700,36,029,007600,1,319,216,689,17.8,191,1008,0,376,352,24,376,0,1008,0,1008,2013
97100,36,029,007600,2,-666666666,311,785,-666666666.0,48,1125,7,470,442,21,463,0,1100,2,1125,2013
93300,36,029,007600,3,-666666666,284,785,-666666666.0,60,982,23,465,442,0,442,10,982,0,982,2013
92700,36,029,007700,1,492,351,649,43.1,180,845,132,599,227,240,467,3,873,9,899,2013
92100,36,029,007700,2,492,286,760,23.8,35,872,84,484,239,161,400,0,865,0,872,2013
83100,36,029,007700,3,638,236,601,19.2,36,886,15,455,362,78,440,21,845,0,886,2013
75000,36,029,007700,4,612,497,909,35.3,229,1314,0,487,259,228,487,0,1314,0,1314,2013
96300,36,029,007700,5,-666666666,236,431,-666666666.0,0,653,0,269,253,16,269,0,653,0,653,2013
76800,36,029,007800,1,492,341,807,13.8,35,1166,0,447,301,146,447,11,1148,2,1166,2013
87300,36,029,007800,2,399,496,1107,50.0,515,1758,88,890,436,366,802,0,1698,0,1758,2013
98600,36,029,007800,3,714,402,830,25.4,72,995,40,481,351,90,441,22,963,0,995,2013
99600,36,029,007800,4,-666666666,462,1133,-666666666.0,41,1409,41,673,619,13,632,0,1409,0,1409,2013
148000,36,029,007901,1,-666666666,394,1093,-666666666.0,30,1492,0,584,560,24,584,46,1330,10,1492,2013
200600,36,029,007901,2,851,179,739,21.5,100,998,35,551,89,427,516,42,891,0,998,2013
155400,36,029,007901,3,-666666666,146,549,-666666666.0,60,808,0,327,298,29,327,0,625,29,808,2013
110800,36,029,007902,1,-666666666,81,437,-666666666.0,15,501,0,258,212,46,258,16,485,16,501,2013
103300,36,029,007902,2,-666666666,194,449,-666666666.0,137,565,41,296,255,0,255,44,527,38,565,2013
120800,36,029,007902,3,769,708,1625,24.4,77,2134,0,1040,668,372,1040,0,1920,90,2134,2013
111500,36,029,007902,4,-666666666,276,650,-666666666.0,24,780,0,363,363,0,363,14,773,0,780,2013
128300,36,029,007902,5,-666666666,310,934,-666666666.0,2,1363,0,506,478,28,506,61,1363,0,1363,2013
98400,36,029,007902,6,-666666666,84,419,-666666666.0,0,617,0,252,252,0,252,139,478,0,617,2013
107600,36,029,007903,1,850,306,810,28.1,157,1212,0,518,399,119,518,60,1065,121,1212,2013
111300,36,029,007903,2,-666666666,305,808,-666666666.0,17,1218,0,480,445,35,480,0,1218,0,1218,2013
115900,36,029,007903,3,-666666666,320,899,-666666666.0,8,1094,25,485,455,5,460,0,1094,0,1094,2013
115300,36,029,007904,1,822,299,963,23.3,208,1391,0,557,495,62,557,0,1371,0,1391,2013
119400,36,029,007904,2,-666666666,166,516,-666666666.0,0,691,0,263,253,10,263,188,525,0,691,2013
111200,36,029,007904,3,811,282,932,24.4,28,1294,0,565,447,118,565,12,1181,58,1294,2013
128500,36,029,007905,1,861,500,1394,25.0,598,2045,122,1141,606,413,1019,67,1909,0,2045,2013
135300,36,029,007905,2,-666666666,238,615,-666666666.0,51,727,0,368,368,0,368,0,727,0,727,2013
129600,36,029,007905,3,-666666666,368,1097,-666666666.0,64,1530,33,638,595,10,605,27,1517,0,1530,2013
102600,36,029,008001,1,-666666666,259,618,-666666666.0,13,803,47,405,342,16,358,0,770,0,803,2013
117400,36,029,008001,2,579,268,968,44.3,241,1414,31,547,461,55,516,52,1170,71,1528,2013
88700,36,029,008001,3,583,234,567,25.0,64,827,0,346,226,120,346,51,648,86,827,2013
105800,36,029,008001,4,-666666666,188,432,-666666666.0,146,711,35,281,235,11,246,108,668,0,711,2013
57900,36,029,000110,1,460,214,436,35.5,83,644,61,352,245,46,291,45,631,0,647,2013
-666666666,36,029,000110,2,-666666666,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,2013
47700,36,029,000110,3,615,294,444,50.0,498,869,52,310,175,83,258,265,473,107,879,2013
61000,36,029,000110,4,511,300,704,22.2,149,1098,55,540,274,211,485,122,911,0,1098,2013
61500,36,029,000200,1,493,508,770,25.5,174,934,0,465,246,219,465,0,856,0,935,2013
55800,36,029,000200,2,478,308,491,47.9,211,699,31,302,176,95,271,198,528,10,699,2013
61800,36,029,000200,3,427,676,1001,45.6,212,1139,48,654,306,300,606,9,1105,2,1146,2013
57400,36,029,000200,4,470,511,807,33.3,319,1212,60,537,147,330,477,240,913,0,1212,2013
40200,36,029,000500,1,396,471,648,50.0,203,865,125,504,242,137,379,199,799,1,868,2013
39400,36,029,000500,2,309,313,619,14.0,343,1087,87,553,261,205,466,138,969,13,1100,2013
73400,36,029,000600,1,462,455,1211,29.7,215,1685,0,722,471,251,722,140,1652,34,1720,2013
86500,36,029,000600,2,510,393,920,16.6,56,1233,59,616,423,134,557,38,1233,0,1233,2013
74300,36,029,000600,3,530,430,1075,21.7,125,1466,47,618,387,184,571,63,1139,264,1466,2013
89200,36,029,000600,4,542,123,363,33.2,221,566,47,320,135,138,273,158,569,6,576,2013
116800,36,029,000700,1,-666666666,48,402,-666666666.0,0,555,25,235,201,9,210,9,555,0,555,2013
93000,36,029,000700,2,498,166,540,22.3,19,654,26,368,286,56,342,0,654,0,654,2013
97100,36,029,000700,3,-666666666,199,374,-666666666.0,1,612,0,240,230,10,240,0,566,0,612,2013
92100,36,029,000700,4,552,343,790,21.9,0,837,59,498,241,198,439,17,948,9,964,2013
100000,36,029,000700,5,390,240,599,10.0,4,852,0,346,296,50,346,0,829,4,852,2013
84000,36,029,000800,1,-666666666,280,573,-666666666.0,56,732,27,342,258,57,315,9,714,0,732,2013
74200,36,029,000800,2,463,510,1133,27.0,368,1846,143,849,427,279,706,64,1622,153,1846,2013
85700,36,029,000800,3,518,656,1414,34.4,188,1808,51,741,468,222,690,91,1735,26,1890,2013
116600,36,029,000800,4,430,102,264,22.4,36,382,27,202,131,44,175,7,375,0,382,2013
75800,36,029,000900,1,463,159,292,45.9,55,410,57,259,143,59,202,0,410,0,410,2013
86900,36,029,000900,2,491,314,746,29.9,169,969,44,432,213,175,388,98,908,35,974,2013
83900,36,029,000900,3,536,249,617,24.5,76,937,8,427,137,282,419,24,883,37,937,2013
60500,36,029,001000,1,456,293,491,33.4,158,732,139,441,131,171,302,47,632,63,732,2013
51900,36,029,001000,2,475,337,553,20.8,327,831,78,437,135,224,359,0,831,0,831,2013
79000,36,029,001000,3,554,273,537,30.7,195,868,56,456,112,288,400,48,757,29,868,2013
65800,36,029,001000,4,527,320,539,34.2,215,794,0,334,144,190,334,0,717,77,794,2013
61600,36,029,001000,5,464,724,1489,45.8,251,1919,132,1033,482,419,901,88,1713,173,1919,2013
66500,36,029,001100,1,456,401,757,50.0,272,1060,32,662,292,338,630,0,1023,26,1060,2013
65100,36,029,001100,2,559,288,448,45.0,188,680,30,307,188,89,277,55,632,0,680,2013
60000,36,029,001100,3,560,436,688,49.7,285,1034,24,537,172,341,513,73,899,91,1034,2013
97900,36,029,001402,1,306,376,540,24.7,304,673,56,501,45,400,445,12,0,649,673,2013
-666666666,36,029,001402,2,373,186,302,30.2,297,529,25,369,0,344,344,8,0,529,529,2013
95600,36,029,001402,3,470,392,829,31.6,508,1296,48,600,106,446,552,16,49,1215,1296,2013
128400,36,029,001402,4,275,326,610,46.8,376,952,23,446,238,185,423,0,68,842,952,2013
36400,36,029,001500,1,391,226,446,50.0,117,618,68,343,179,96,275,2,112,477,618,2013
62200,36,029,001500,2,458,371,634,50.0,269,867,169,616,178,269,447,56,98,768,867,2013
28400,36,029,001600,1,365,165,339,50.0,172,394,173,423,107,143,250,54,153,163,394,2013
23100,36,029,001600,2,416,414,547,38.5,379,852,171,597,177,249,426,65,138,500,852,2013
20800,36,029,001600,3,444,101,131,50.0,274,296,126,259,50,83,133,20,27,112,296,2013
24700,36,029,001600,4,470,261,319,50.0,183,475,319,551,42,190,232,0,122,320,489,2013
37300,36,029,001700,1,309,467,863,34.3,346,1321,124,720,310,286,596,8,856,418,1321,2013
16300,36,029,001700,2,341,263,411,23.9,80,580,80,312,75,157,232,5,337,193,580,2013
59300,36,029,001900,1,522,473,815,32.4,114,1018,74,588,360,154,514,32,967,7,1018,2013
72600,36,029,001900,2,419,572,1166,23.4,130,1422,62,736,517,157,674,34,1407,0,1433,2013
56700,36,029,001900,3,444,221,429,50.0,50,578,39,285,156,90,246,41,378,128,578,2013
44100,36,029,002300,1,471,398,564,45.0,162,735,79,460,92,289,381,0,633,89,735,2013
47200,36,029,002300,2,448,282,387,50.0,248,549,27,309,157,125,282,0,469,80,549,2013
46300,36,029,002300,3,493,290,487,47.2,443,901,8,267,141,118,259,98,901,0,901,2013
45300,36,029,002300,4,410,438,659,35.9,302,1028,77,606,184,345,529,110,701,228,1063,2013
18000,36,029,002400,1,400,135,241,50.0,223,364,135,368,109,124,233,45,215,149,364,2013
-666666666,36,029,002400,2,392,114,154,50.0,119,249,186,307,9,112,121,0,60,189,249,2013
46000,36,029,002400,3,383,459,741,30.4,107,881,146,595,251,198,449,0,826,0,881,2013
52700,36,029,002400,4,854,318,630,32.8,240,1259,23,458,261,174,435,190,735,226,1259,2013
38100,36,029,002400,5,542,417,671,50.0,337,790,34,269,202,33,235,43,555,161,790,2013
51400,36,029,002400,6,-666666666,391,568,-666666666.0,272,875,43,399,281,75,356,7,748,0,875,2013
41700,36,029,002502,1,304,415,775,29.9,522,1081,23,544,84,437,521,127,142,789,1107,2013
85600,36,029,002502,2,371,347,699,50.0,68,965,75,611,312,224,536,37,41,903,965,2013
26300,36,029,002702,1,382,183,255,47.1,206,486,214,361,67,80,147,0,83,133,486,2013
37500,36,029,002702,2,297,96,173,25.0,118,261,119,247,34,94,128,0,25,177,261,2013
34300,36,029,002702,3,500,292,491,50.0,749,1210,170,432,95,167,262,13,302,213,1210,2013
38600,36,029,002702,4,302,301,524,45.9,335,833,105,501,89,307,396,0,133,558,833,2013
22700,36,029,002800,1,408,182,264,50.0,93,366,71,241,102,68,170,178,47,220,366,2013
25100,36,029,002800,2,396,174,314,32.3,185,455,207,427,53,167,220,20,196,256,455,2013
29700,36,029,002800,3,665,120,188,50.0,166,308,114,222,62,46,108,30,79,124,308,2013
32400,36,029,002800,4,500,290,565,50.0,369,1009,78,485,145,262,407,10,258,664,1018,2013
24300,36,029,002900,1,350,112,247,50.0,320,468,148,296,87,61,148,0,71,376,468,2013
29600,36,029,002900,2,439,87,343,50.0,134,610,131,364,101,132,233,0,171,327,610,2013
25400,36,029,002900,3,324,160,217,50.0,215,463,157,334,59,118,177,0,39,424,463,2013
38900,36,029,002900,4,478,173,313,50.0,287,728,127,357,67,163,230,4,326,402,728,2013
50300,36,029,003000,1,639,171,331,50.0,426,588,71,340,114,155,269,0,83,505,588,2013
44100,36,029,003000,2,576,359,650,50.0,608,1189,123,612,147,342,489,28,210,930,1249,2013
55600,36,029,003000,3,518,121,478,24.3,471,872,190,447,194,63,257,35,69,756,877,2013
49500,36,029,003100,1,337,103,201,50.0,123,314,175,338,39,124,163,0,29,285,314,2013
38800,36,029,003100,2,-666666666,101,370,-666666666.0,174,501,126,417,180,111,291,0,10,482,501,2013
49500,36,029,003100,3,392,299,568,50.0,316,785,189,498,143,166,309,4,11,772,785,2013
-666666666,36,029,003100,4,180,120,177,27.5,170,263,28,139,0,111,111,4,61,182,277,2013
37600,36,029,003301,1,535,226,602,24.0,242,739,74,325,133,118,251,7,166,732,905,2013
54400,36,029,003301,2,562,252,483,50.0,343,834,97,431,161,173,334,0,0,802,834,2013
45600,36,029,003301,3,384,319,646,44.4,272,1171,185,659,191,283,474,59,22,1055,1171,2013
47300,36,029,003301,4,626,211,522,50.0,311,822,97,470,258,115,373,0,12,810,822,2013
32700,36,029,003302,1,429,189,470,32.4,153,701,166,530,238,126,364,11,13,693,717,2013
37000,36,029,003302,2,470,687,897,50.0,528,994,104,571,161,306,467,6,220,979,1264,2013
36700,36,029,003302,3,508,390,580,38.6,300,821,152,471,107,212,319,0,0,801,823,2013
28200,36,029,003302,4,416,253,481,29.6,411,851,121,404,87,196,283,52,0,723,851,2013
35700,36,029,003400,1,472,237,376,33.7,186,659,130,434,114,190,304,4,0,645,659,2013
29100,36,029,003400,2,465,175,312,36.5,113,586,95,338,161,82,243,0,0,578,586,2013
29700,36,029,003400,3,413,223,423,43.0,63,533,176,421,139,106,245,10,46,487,533,2013
28800,36,029,003400,4,421,133,271,34.6,97,340,23,244,89,132,221,0,0,340,340,2013
31500,36,029,003400,5,615,109,169,32.1,86,284,76,216,64,76,140,11,7,294,310,2013
33200,36,029,003500,1,324,147,296,50.0,95,356,45,230,87,98,185,51,59,281,356,2013
28000,36,029,003500,2,457,281,468,46.7,140,709,144,485,161,180,341,22,31,653,755,2013
29200,36,029,003500,3,405,360,562,30.8,679,1131,149,653,105,399,504,0,24,1076,1131,2013
34100,36,029,003500,4,428,334,571,50.0,432,769,169,658,160,329,489,2,12,729,769,2013
19600,36,029,003600,1,494,177,342,50.0,520,806,111,353,79,163,242,0,124,682,806,2013
