Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
112900,36,029,007902,4,-666666666,215,666,-666666666.0,0,872,0,384,384,0,384,0,872,0,872,2015
128300,36,029,007902,5,770,200,736,27.4,19,1000,0,410,363,47,410,3,953,47,1000,2015
125000,36,029,007902,6,-666666666,141,423,-666666666.0,65,637,0,248,232,16,248,63,574,0,637,2015
111700,36,029,007903,1,767,210,738,27.2,68,973,25,522,413,84,497,11,890,49,973,2015
115600,36,029,007903,2,-666666666,373,781,-666666666.0,30,1078,0,433,425,8,433,0,1071,0,1078,2015
123800,36,029,007903,3,,363,992,10.0,8,1246,23,538,468,47,515,0,1271,0,1271,2015
118400,36,029,007904,1,860,312,1010,24.1,183,1406,0,551,452,99,551,18,1381,0,1406,2015
125500,36,029,007904,2,-666666666,142,433,-666666666.0,0,634,0,235,218,17,235,140,494,0,634,2015
116800,36,029,007904,3,935,324,970,39.4,118,1283,38,676,450,188,638,16,1090,54,1283,2015
130000,36,029,007905,1,843,513,1479,25.2,335,1794,154,1119,641,324,965,78,1547,95,1794,2015
142600,36,029,007905,2,-666666666,215,548,-666666666.0,29,652,0,364,364,0,364,0,652,0,652,2015
128100,36,029,007905,3,-666666666,343,1270,-666666666.0,16,1725,17,693,676,0,676,44,1707,0,1725,2015
112800,36,029,008001,1,-666666666,161,580,-666666666.0,12,704,35,361,309,17,326,0,673,0,704,2015
118100,36,029,008001,2,,239,1039,40.4,86,1497,0,540,491,49,540,36,1234,38,1595,2015
92600,36,029,008001,3,593,325,780,25.2,183,1215,0,435,270,165,435,57,833,277,1252,2015
109100,36,029,008001,4,-666666666,179,316,-666666666.0,0,426,35,225,190,0,190,0,400,0,426,2015
151500,36,029,008001,5,627,243,634,50.0,277,971,0,383,214,169,383,53,701,247,971,2015
96900,36,029,008001,6,-666666666,175,711,-666666666.0,72,906,31,411,330,50,380,12,826,80,906,2015
138500,36,029,008002,1,660,169,722,30.9,332,1160,0,472,263,209,472,290,1151,44,1211,2015
112600,36,029,008002,2,580,142,432,23.7,46,519,0,270,176,94,270,0,509,0,519,2015
122500,36,029,008002,3,673,418,1157,37.4,167,1918,17,765,489,259,748,15,1703,97,1918,2015
120700,36,029,008002,4,-666666666,234,882,-666666666.0,25,1053,0,473,444,29,473,0,1053,0,1053,2015
124000,36,029,008002,5,627,211,555,37.7,53,708,17,332,261,54,315,0,696,12,708,2015
153800,36,029,008002,6,-666666666,66,447,-666666666.0,0,494,0,264,247,17,264,0,494,0,494,2015
97100,36,029,008003,1,-666666666,317,655,-666666666.0,56,830,59,443,384,0,384,0,818,12,830,2015
108100,36,029,008003,2,719,315,519,50.0,444,1074,20,380,241,119,360,27,1059,0,1074,2015
115300,36,029,008003,3,638,308,638,31.3,69,759,19,371,193,159,352,0,650,0,759,2015
113100,36,029,008003,4,606,285,1009,17.8,89,1514,0,610,404,206,610,84,1257,67,1514,2015
107300,36,029,008003,5,-666666666,370,889,-666666666.0,4,1498,0,477,453,24,477,75,1399,60,1498,2015
114200,36,029,008101,1,663,299,993,14.2,61,1341,66,698,443,189,632,0,1229,0,1341,2015
128500,36,029,008101,2,,223,807,17.8,56,1144,48,598,426,124,550,0,1119,0,1144,2015
130600,36,029,008101,3,797,252,674,24.1,101,899,0,397,223,174,397,0,740,25,899,2015
118000,36,029,008101,4,629,241,734,22.2,35,890,0,485,338,147,485,70,847,0,890,2015
105200,36,029,008101,5,749,476,1004,32.5,19,1215,77,775,319,379,698,2,1115,51,1215,2015
162500,36,029,008102,1,713,144,708,23.3,41,945,0,448,344,104,448,18,887,0,945,2015
121700,36,029,008102,2,625,252,831,28.9,80,1274,0,564,346,218,564,76,1212,42,1283,2015
242700,36,029,008102,3,-666666666,35,473,-666666666.0,58,581,36,325,289,0,289,0,581,0,581,2015
162300,36,029,008102,4,-666666666,129,636,-666666666.0,10,771,0,367,354,13,367,8,748,5,771,2015
120700,36,029,008102,5,-666666666,164,414,-666666666.0,62,521,24,312,270,18,288,12,521,0,521,2015
105400,36,029,008201,1,698,246,525,50.0,121,729,18,373,234,121,355,55,674,19,729,2015
106900,36,029,008201,2,636,194,598,22.8,46,754,9,403,258,136,394,32,719,3,754,2015
107000,36,029,008201,3,256,331,737,20.0,87,994,0,390,350,40,390,32,974,15,994,2015
120100,36,029,008202,1,606,265,746,21.0,17,994,58,507,307,142,449,9,963,31,994,2015
110900,36,029,008202,2,491,213,478,25.0,16,561,62,412,148,202,350,0,561,0,561,2015
,36,029,002800,3,523,148,232,50.0,239,383,93,237,62,82,144,36,102,156,383,2015
37100,36,029,002800,4,474,267,521,50.0,246,886,84,439,127,228,355,21,156,666,886,2015
31500,36,029,002900,1,500,141,260,45.6,212,424,101,248,46,101,147,22,58,346,432,2015
,36,029,002900,2,520,149,339,47.4,63,499,98,326,129,99,228,0,136,322,499,2015
