Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
65900,36,029,016800,2,459,440,887,39.9,623,1199,272,849,171,406,577,70,85,1058,1199,2017
53500,36,029,016800,1,618,242,400,50.0,184,596,205,513,157,151,308,2,8,572,609,2017
72500,36,029,016800,3,440,219,445,39.4,346,724,128,418,99,191,290,0,32,675,724,2017
285100,36,029,016900,1,832,47,640,27.8,82,760,136,549,175,238,413,34,726,8,760,2017
50700,36,029,000110,3,529,435,672,22.7,238,988,60,404,175,169,344,408,583,111,988,2017
61500,36,029,000110,4,624,454,1025,33.7,388,1453,68,610,260,282,542,289,1159,43,1453,2017
65000,36,029,000110,1,515,112,209,50.0,35,297,65,182,100,17,117,27,309,0,316,2017
-666666666,36,029,000110,2,-666666666,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,2017
29400,36,029,016300,3,431,327,656,23.3,463,1171,78,529,215,236,451,249,1026,105,1171,2017
24500,36,029,016300,1,527,228,407,50.0,279,751,96,356,152,108,260,301,496,0,751,2017
141200,36,029,014209,1,572,333,865,37.5,18,1163,41,546,408,97,505,0,1133,30,1163,2017
242600,36,029,014209,3,-666666666,97,615,-666666666.0,50,871,0,328,313,15,328,6,865,0,871,2017
63600,36,029,005801,2,545,415,757,32.6,319,1205,35,525,140,350,490,272,861,67,1205,2017
64200,36,029,005801,1,544,512,768,39.5,617,1318,57,606,263,286,549,137,868,68,1318,2017
81800,36,029,005801,3,532,290,607,29.7,484,1033,24,381,105,252,357,413,287,205,1033,2017
117100,36,029,017502,2,432,491,914,17.6,90,1195,51,556,410,95,505,7,1151,8,1195,2017
122900,36,029,017502,1,378,446,951,18.4,132,1205,81,532,417,34,451,15,1184,0,1205,2017
195200,36,029,011200,4,750,301,1121,35.0,12,1540,0,620,558,62,620,36,1493,20,1540,2017
300000,36,029,005300,2,246,127,318,28.4,142,312,16,244,30,198,228,122,412,359,970,2017
218500,36,029,007303,4,-666666666,244,1071,-666666666.0,26,1628,0,526,526,0,526,76,1448,7,1628,2017
129600,36,029,010003,2,693,419,894,19.6,102,1386,0,546,426,120,546,0,1109,232,1386,2017
220300,36,029,014207,2,627,227,1092,30.9,0,1488,12,620,561,47,608,69,1459,0,1488,2017
203400,36,029,014207,3,806,703,2298,24.8,187,3070,0,1388,749,639,1388,74,2797,228,3070,2017
168100,36,029,014207,1,1110,381,798,25.3,35,827,0,438,328,110,438,0,906,8,914,2017
117100,36,029,010808,4,889,110,258,39.0,13,379,30,197,94,73,167,41,379,0,379,2017
119700,36,029,010808,2,850,490,1416,23.8,367,1932,64,1039,296,679,975,56,1247,140,1954,2017
128000,36,029,010808,1,-666666666,617,1119,50.0,169,1192,9,569,407,153,560,21,1304,15,1339,2017
-666666666,36,029,010808,3,958,35,163,31.5,21,194,0,108,0,108,108,0,168,13,194,2017
-666666666,36,029,006201,1,-666666666,0,45,-666666666.0,0,0,0,0,0,0,0,357,661,984,2070,2017
174100,36,029,016900,2,788,26,538,29.4,133,650,25,456,181,250,431,15,526,48,650,2017
-666666666,36,029,016900,3,735,213,796,33.9,181,1058,105,553,182,266,448,39,441,558,1169,2017
-666666666,36,029,016900,4,589,145,373,18.4,250,520,124,346,97,125,222,52,544,335,983,2017
50500,36,029,017000,2,609,561,1193,38.3,672,1874,162,903,374,367,741,9,59,1822,1900,2017
43400,36,029,017000,1,562,273,694,50.0,268,1028,42,519,273,204,477,6,0,1011,1028,2017
68300,36,029,017100,4,490,366,708,50.0,696,1250,42,390,212,136,348,157,505,48,1250,2017
154300,36,029,017100,2,621,183,323,28.4,433,823,151,387,84,152,236,112,103,486,823,2017
65000,36,029,017100,3,666,395,608,42.0,653,1046,66,433,62,305,367,318,275,433,1046,2017
76000,36,029,017200,2,461,159,345,30.8,235,473,19,312,60,233,293,52,461,3,473,2017
-666666666,36,029,017100,1,529,281,410,50.0,627,969,68,394,84,242,326,383,238,448,969,2017
45000,36,029,017100,5,496,370,664,27.5,282,735,69,277,81,127,208,296,411,250,982,2017
86100,36,029,017200,1,506,340,577,14.0,120,762,28,354,191,135,326,10,791,0,791,2017
82700,36,029,017200,3,630,423,831,19.8,190,1123,98,532,298,136,434,0,1093,0,1123,2017
139100,36,029,017300,4,574,301,858,32.3,81,1060,0,405,322,83,405,0,1060,0,1060,2017
159800,36,029,017300,1,-666666666,590,1895,-666666666.0,147,2803,0,984,969,15,984,30,2784,0,2803,2017
163300,36,029,017300,3,950,638,1944,50.0,74,2469,103,1195,875,217,1092,0,2458,0,2469,2017
145600,36,029,017300,2,-666666666,157,592,33.4,97,806,49,400,271,80,351,11,804,28,852,2017
116200,36,029,015402,4,470,729,1321,38.5,383,1648,170,857,545,142,687,4,1615,0,1648,2017
223800,36,029,007302,4,-666666666,535,1667,24.4,179,2312,14,948,837,97,934,38,2290,4,2318,2017
-666666666,36,029,016400,1,236,257,645,22.2,281,848,86,621,10,525,535,77,70,720,848,2017
53000,36,029,016400,3,534,143,315,50.0,136,356,28,249,124,97,221,56,227,107,356,2017
-666666666,36,029,016500,1,1050,441,1349,21.9,359,1155,215,926,57,654,711,199,1004,479,1672,2017
117900,36,029,013002,3,973,903,1574,50.0,152,1708,56,744,503,185,688,0,1902,6,1908,2017
155800,36,029,010804,2,812,736,1771,26.3,268,2266,42,1154,841,271,1112,35,2220,23,2266,2017
152700,36,029,010804,1,581,513,1280,37.0,238,1671,52,755,486,217,703,38,1489,125,1680,2017
249700,36,029,009600,2,1225,555,2068,48.9,221,2519,142,1331,801,388,1189,9,2344,42,2578,2017
216900,36,029,013800,1,526,498,1824,20.9,190,2731,76,1061,829,156,985,114,2670,0,2731,2017
295700,36,029,013800,4,-666666666,285,645,-666666666.0,138,934,0,324,310,14,324,24,944,0,969,2017
267900,36,029,013800,5,-666666666,112,757,-666666666.0,41,900,0,345,331,14,345,0,900,0,900,2017
110700,36,029,014702,4,936,513,1348,50.0,193,1650,115,919,717,87,804,0,1650,0,1650,2017
359300,36,029,014702,5,-666666666,421,1938,-666666666.0,0,2939,0,954,901,53,954,51,2484,3,2945,2017
128600,36,029,015900,2,577,525,1401,24.5,139,1749,38,854,557,259,816,88,1720,26,1829,2017
183100,36,029,015301,3,-666666666,438,1549,-666666666.0,50,2215,80,902,767,55,822,23,2211,4,2215,2017
171000,36,029,015301,2,466,677,1295,28.3,102,1718,30,703,567,106,673,50,1674,0,1718,2017
189600,36,029,013202,2,925,537,2371,37.7,138,3367,63,1291,1169,59,1228,12,3337,32,3412,2017
178900,36,029,015202,3,723,268,1116,24.2,15,1478,42,763,526,195,721,0,1483,0,1483,2017
94200,36,029,007800,2,462,500,983,34.0,379,1324,99,792,339,354,693,36,1302,0,1324,2017
92900,36,029,007800,1,688,309,719,17.5,150,982,29,472,269,174,443,15,828,4,982,2017
143300,36,029,007905,1,853,446,1445,24.9,108,1959,129,1093,674,290,964,211,1718,116,1959,2017
148300,36,029,007905,3,-666666666,255,1377,-666666666.0,17,1686,0,746,692,54,746,15,1671,0,1686,2017
125900,36,029,008001,1,-666666666,419,892,-666666666.0,12,1167,38,512,474,0,474,0,1126,0,1167,2017
95800,36,029,008001,3,619,208,554,26.0,136,865,0,313,219,94,313,57,621,270,914,2017
100300,36,029,008001,6,-666666666,180,664,-666666666.0,47,858,51,413,313,49,362,12,768,90,858,2017
146200,36,029,008001,2,-666666666,194,996,-666666666.0,58,1205,0,459,448,11,459,37,1058,10,1299,2017
148900,36,029,008001,5,700,177,653,24.3,206,1135,0,440,265,175,440,209,717,396,1135,2017
114000,36,029,008001,4,-666666666,245,387,-666666666.0,0,489,37,263,226,0,226,57,432,0,489,2017
114200,36,029,008201,1,824,272,603,50.0,73,777,23,411,292,96,388,60,720,19,777,2017
111500,36,029,008201,3,838,179,615,42.4,82,884,9,362,303,50,353,73,889,20,918,2017
132900,36,029,008500,1,376,260,1006,30.3,137,1176,44,708,375,289,664,18,1124,22,1181,2017
155300,36,029,009106,2,941,479,1313,23.6,223,2085,70,865,547,248,795,67,1976,49,2114,2017
157100,36,029,012001,3,1299,259,583,28.0,43,768,0,267,222,45,267,32,768,0,777,2017
30800,36,029,010002,3,547,547,958,22.9,157,1183,0,626,482,144,626,22,1104,20,1183,2017
89600,36,029,010103,3,705,202,618,19.8,78,810,24,474,140,310,450,0,791,19,810,2017
-666666666,36,029,003400,5,535,209,308,50.0,181,386,45,238,39,154,193,7,4,400,404,2017
35200,36,029,003400,1,553,124,463,34.2,260,675,31,317,130,156,286,0,75,583,675,2017
-666666666,36,029,003400,4,615,74,241,32.3,80,384,67,240,100,73,173,0,0,333,384,2017
-666666666,36,029,003400,2,406,243,389,43.2,228,692,65,372,144,163,307,0,0,631,692,2017
53100,36,029,003800,2,665,159,322,50.0,348,537,33,247,71,143,214,0,88,449,537,2017
36200,36,029,003800,1,645,355,638,49.6,596,1051,63,467,120,284,404,0,76,940,1051,2017
42300,36,029,003800,3,608,257,644,50.0,704,1510,118,608,158,332,490,325,102,1160,1523,2017
56300,36,029,004700,2,709,47,445,29.1,52,857,82,461,116,263,379,0,57,766,857,2017
54500,36,029,004700,4,624,669,1196,34.8,480,1624,51,736,162,523,685,103,505,846,1624,2017
56300,36,029,004700,3,467,346,904,10.0,78,1196,130,655,332,193,525,48,68,1117,1240,2017
75200,36,029,004700,1,703,121,554,32.5,283,1102,0,461,113,348,461,220,213,741,1102,2017
72800,36,029,004700,5,653,297,517,50.0,661,976,223,654,75,356,431,56,317,392,976,2017
124300,36,029,005000,1,655,161,715,22.6,137,806,72,509,164,273,437,35,598,165,814,2017
96800,36,029,005000,2,618,272,562,13.1,92,636,0,285,146,139,285,53,494,41,636,2017
95100,36,029,005000,3,575,133,562,29.3,109,794,78,442,249,115,364,33,659,58,794,2017
268400,36,029,005400,3,1121,42,606,13.0,7,877,25,349,273,51,324,80,776,85,877,2017
260100,36,029,005400,4,789,77,582,24.9,100,778,80,435,239,116,355,0,738,13,778,2017
389600,36,029,005400,1,838,163,945,30.0,153,1334,33,711,275,403,678,131,1128,95,1334,2017
177900,36,029,005400,2,784,255,636,35.0,215,971,46,543,140,357,497,35,716,185,971,2017
89500,36,029,006100,4,645,348,633,30.9,564,1175,123,516,105,288,393,295,368,566,1225,2017
38100,36,029,006100,3,753,246,412,42.9,478,752,116,331,65,150,215,363,214,150,752,2017
79400,36,029,006100,5,593,153,439,31.7,150,789,96,399,119,184,303,228,223,329,789,2017
75400,36,029,006100,2,547,191,406,23.1,267,671,106,371,66,199,265,55,512,105,671,2017
64600,36,029,006100,1,586,504,867,50.0,744,1717,68,555,99,388,487,327,381,319,1717,2017
109600,36,029,009302,1,935,194,725,24.8,119,1089,46,513,317,150,467,0,855,111,1089,2017
88300,36,029,009302,3,690,179,394,22.3,135,432,11,210,134,65,199,4,351,99,518,2017
121300,36,029,009302,2,680,196,751,18.0,57,1146,12,477,433,32,465,0,929,96,1146,2017
241700,36,029,009501,1,-666666666,39,242,-666666666.0,0,390,0,119,103,16,119,0,300,30,390,2017
98900,36,029,010300,2,-666666666,131,450,24.7,165,598,53,261,133,75,208,4,267,321,611,2017
165500,36,029,009501,3,-666666666,97,1332,10.3,0,1822,0,799,736,63,799,39,1705,0,1822,2017
248000,36,029,009501,4,-666666666,35,551,-666666666.0,18,957,0,324,307,17,324,56,885,53,957,2017
94800,36,029,010001,2,585,288,659,30.9,132,935,0,428,359,69,428,52,827,21,955,2017
98200,36,029,010001,1,675,624,1531,39.2,113,2116,26,886,685,175,860,9,2018,32,2116,2017
78000,36,029,010300,1,739,164,441,50.0,272,821,42,367,154,171,325,87,193,533,821,2017
104600,36,029,010805,2,-666666666,464,692,-666666666.0,17,889,0,407,328,79,407,33,889,0,889,2017
142200,36,029,010805,3,791,646,1527,36.7,36,1890,0,850,708,142,850,0,1939,2,1994,2017
136900,36,029,010805,1,718,880,1587,17.3,28,1963,0,887,803,84,887,52,1963,0,1963,2017
90000,36,029,001402,3,399,412,946,34.0,510,1358,0,599,110,489,599,13,74,1228,1358,2017
116500,36,029,001402,4,398,238,350,12.7,69,397,184,456,111,161,272,81,73,259,397,2017
-666666666,36,029,001402,2,248,207,309,32.1,295,382,130,434,0,304,304,79,79,303,382,2017
162000,36,029,008102,1,679,120,705,30.2,38,959,9,459,373,77,450,19,927,0,959,2017
268000,36,029,008102,3,-666666666,37,617,-666666666.0,47,784,0,369,369,0,369,0,784,0,784,2017
200300,36,029,008102,4,-666666666,103,527,-666666666.0,12,706,0,305,297,8,305,9,695,4,706,2017
135800,36,029,008102,5,-666666666,247,455,-666666666.0,9,531,30,307,264,13,277,13,515,8,531,2017
193200,36,029,013101,1,-666666666,96,1154,29.2,57,1575,45,769,616,108,724,26,1562,0,1575,2017
119000,36,029,013101,3,-666666666,258,698,-666666666.0,46,904,0,399,357,42,399,0,882,0,904,2017
153200,36,029,013101,4,-666666666,147,648,-666666666.0,0,756,0,350,337,13,350,33,672,0,756,2017
133700,36,029,013101,5,-666666666,84,349,-666666666.0,11,458,0,225,174,51,225,0,441,0,458,2017
135000,36,029,013101,2,751,705,1967,23.8,71,2769,49,1197,826,322,1148,28,2657,124,2781,2017
144600,36,029,012001,2,732,530,1638,36.0,132,2314,25,911,762,124,886,147,2175,0,2314,2017
126800,36,029,012001,1,574,356,1138,17.9,111,1518,48,749,535,166,701,0,1476,20,1518,2017
104000,36,029,012501,4,647,264,677,38.2,155,936,43,379,209,127,336,80,827,33,936,2017
105100,36,029,012501,2,476,177,348,30.7,134,521,83,340,97,160,257,8,513,0,521,2017
113900,36,029,012501,5,517,262,537,20.5,68,643,0,315,174,141,315,44,643,0,643,2017
117900,36,029,012501,3,584,621,1049,40.6,419,1770,104,745,373,268,641,33,1768,2,1770,2017
123200,36,029,012501,1,536,417,674,22.0,204,906,34,533,80,419,499,50,887,0,906,2017
143200,36,029,013300,4,684,138,537,50.0,0,854,0,301,264,37,301,0,854,0,854,2017
222300,36,029,014102,1,1308,679,1919,38.0,133,2541,47,1155,848,260,1108,0,2540,1,2541,2017
140900,36,029,014501,1,540,808,1552,27.4,168,1928,31,887,726,130,856,147,1742,14,1935,2017
118300,36,029,014501,2,636,397,1145,31.5,48,1738,0,693,529,164,693,0,1699,11,1738,2017
120900,36,029,014803,3,493,618,1428,27.1,46,1791,93,959,756,110,866,0,1752,27,1791,2017
139600,36,029,014803,2,-666666666,521,924,-666666666.0,45,1274,79,539,419,41,460,11,1209,43,1274,2017
149600,36,029,014901,1,693,412,1016,24.0,117,1336,28,639,401,210,611,0,1282,19,1344,2017
115500,36,029,014901,2,625,316,873,35.5,125,1243,28,607,402,177,579,4,1213,5,1243,2017
171000,36,029,015002,1,611,562,1647,26.2,190,2287,52,956,815,89,904,0,2249,0,2287,2017
243300,36,029,015002,2,-666666666,226,569,-666666666.0,0,745,74,347,263,10,273,27,601,0,745,2017
126500,36,029,015700,2,-666666666,234,510,-666666666.0,70,661,12,282,249,21,270,0,709,0,709,2017
155700,36,029,015700,1,-666666666,459,890,-666666666.0,20,1194,9,458,428,21,449,8,1207,10,1217,2017
88100,36,029,015700,4,520,252,570,22.5,58,972,42,372,189,141,330,34,926,6,972,2017
99300,36,029,015700,3,343,196,413,29.3,32,622,17,261,229,15,244,4,560,7,622,2017
-666666666,36,029,016100,1,-666666666,1776,2409,-666666666.0,9,49,0,8,8,0,8,514,1162,1058,2714,2017
84100,36,029,940000,2,-666666666,284,491,-666666666.0,378,717,80,384,259,45,304,11,54,0,717,2017
-666666666,36,029,001700,2,504,216,348,50.0,268,591,89,326,92,145,237,66,339,112,591,2017
57200,36,029,004100,3,477,157,332,15.6,143,566,7,271,118,146,264,0,60,506,566,2017
62700,36,029,004100,4,576,335,870,42.6,527,1490,100,734,260,374,634,19,173,1199,1490,2017
56300,36,029,004100,2,552,291,725,28.9,101,1051,42,531,252,237,489,0,18,985,1051,2017
46700,36,029,004100,1,578,351,786,46.2,455,1450,143,698,232,323,555,47,103,1312,1462,2017
186900,36,029,014204,1,1073,857,2410,43.0,168,2955,36,1479,914,529,1443,41,3081,9,3109,2017
232100,36,029,014204,2,-666666666,435,876,-666666666.0,60,1116,36,468,420,12,432,34,1140,0,1146,2017
168100,36,029,012902,2,351,616,1457,28.0,241,1765,90,1106,471,545,1016,10,1778,25,1811,2017
198000,36,029,014601,3,1536,154,571,30.4,25,793,0,267,202,65,267,0,764,0,793,2017
352200,36,029,014701,2,-666666666,137,741,-666666666.0,9,1217,22,403,368,13,381,17,1180,9,1217,2017
235300,36,029,014701,3,929,875,2315,18.9,190,3202,63,1317,1116,138,1254,51,3111,31,3211,2017
141500,36,029,009501,2,-666666666,227,1559,-666666666.0,70,1969,0,973,878,95,973,63,1523,411,1969,2017
90100,36,029,015503,2,666,495,1046,34.8,192,1378,89,707,455,163,618,10,1285,0,1378,2017
148800,36,029,015503,1,423,435,1008,27.2,110,1347,118,684,502,64,566,66,1335,3,1347,2017
260600,36,029,013502,4,-666666666,219,732,-666666666.0,10,928,0,382,356,26,382,0,928,0,928,2017
222200,36,029,013501,3,-666666666,715,2363,50.0,49,2521,54,1284,949,281,1230,76,2740,12,2880,2017
190500,36,029,013701,4,806,615,1446,17.3,63,1973,56,928,638,234,872,32,1944,16,1973,2017
85600,36,029,017501,2,500,345,666,34.7,286,955,32,459,215,212,427,16,785,9,955,2017
87800,36,029,017501,1,476,189,405,26.0,53,514,9,259,206,44,250,0,489,0,514,2017
89700,36,029,015504,1,1004,407,804,19.8,140,1139,69,560,414,77,491,40,1051,0,1139,2017
86300,36,029,015504,3,-666666666,169,296,-666666666.0,7,429,85,281,188,8,196,0,429,0,429,2017
46700,36,029,016600,4,485,362,701,47.8,411,1069,98,518,205,215,420,12,29,991,1100,2017
128100,36,029,015504,2,-666666666,345,859,-666666666.0,68,1092,243,726,448,35,483,17,1052,17,1092,2017
37200,36,029,016600,1,515,317,431,50.0,239,709,101,402,157,144,301,0,21,624,709,2017
39500,36,029,016600,3,435,206,413,38.3,21,521,62,272,164,46,210,0,0,503,521,2017
320800,36,029,014603,1,1242,331,1753,23.5,56,2551,80,1000,881,39,920,0,2299,0,2551,2017
94900,36,029,015504,4,646,394,875,38.9,195,1282,115,636,453,68,521,37,1220,0,1282,2017
265900,36,029,014603,3,-666666666,39,488,-666666666.0,17,664,28,309,233,48,281,15,593,0,664,2017
279000,36,029,014603,2,1929,175,760,23.4,6,1028,0,411,378,33,411,56,991,37,1028,2017
419100,36,029,014604,3,677,261,1136,32.4,20,1830,0,617,512,105,617,71,1719,4,1830,2017
397800,36,029,014604,1,1907,175,1577,50.0,0,2342,68,883,719,96,815,77,2071,0,2342,2017
324200,36,029,014604,4,-666666666,170,818,-666666666.0,176,1216,0,454,412,42,454,0,1216,0,1216,2017
352600,36,029,014604,2,1044,318,1866,50.0,69,2833,38,1093,809,246,1055,146,2501,0,2833,2017
266600,36,029,014208,3,-666666666,320,1810,-666666666.0,75,2813,63,1060,937,60,997,40,2629,155,2823,2017
238200,36,029,014208,2,473,511,1293,16.3,8,1669,0,698,662,36,698,0,1709,0,1709,2017
186600,36,029,014208,1,635,504,1044,50.0,94,1029,0,504,374,130,504,0,1164,32,1221,2017
219300,36,029,013702,2,989,537,2143,22.6,185,2699,220,1500,540,740,1280,107,2552,73,2699,2017
245900,36,029,014206,1,-666666666,602,2134,-666666666.0,23,3276,53,1202,1149,0,1149,0,3285,0,3318,2017
256100,36,029,014206,3,-666666666,251,1152,-666666666.0,4,1828,0,603,582,21,603,0,1827,1,1828,2017
251100,36,029,014206,2,-666666666,383,1461,-666666666.0,97,2260,0,769,751,18,769,31,2234,0,2260,2017
113800,36,029,007600,2,569,378,870,41.6,63,1192,0,516,379,137,516,8,1146,1,1192,2017
62000,36,029,017400,1,468,698,934,29.2,795,1645,123,617,172,322,494,269,1132,150,1668,2017
87800,36,029,016200,1,481,502,903,31.1,201,1123,71,607,299,237,536,169,911,143,1275,2017
97200,36,029,016200,2,576,292,650,24.6,72,781,1,400,335,64,399,19,749,25,801,2017
63800,36,029,016700,3,525,378,649,18.9,378,900,81,549,243,225,468,205,834,18,900,2017
71300,36,029,016700,1,-666666666,228,499,33.4,66,721,75,376,228,73,301,0,653,0,731,2017
68900,36,029,016700,2,427,296,489,50.0,11,548,20,311,177,114,291,43,532,0,548,2017
152600,36,029,014803,4,717,567,1461,23.2,103,1979,11,906,748,147,895,15,1964,26,2005,2017
170800,36,029,014803,1,630,257,858,14.8,16,1207,0,450,358,92,450,0,1207,0,1207,2017
60500,36,029,012300,3,396,232,483,27.3,101,784,83,423,154,186,340,69,707,46,784,2017
86400,36,029,007700,3,654,257,811,50.0,244,1141,49,589,369,171,540,41,1095,0,1141,2017
88000,36,029,007700,2,595,257,636,24.9,84,868,68,580,296,216,512,0,852,0,868,2017
112000,36,029,007800,4,-666666666,574,1283,-666666666.0,48,1457,0,621,608,13,621,18,1456,0,1457,2017
124700,36,029,007800,3,775,447,1041,29.9,98,1445,0,636,549,87,636,22,1207,0,1445,2017
119900,36,029,008500,2,606,264,917,27.9,6,1281,17,557,419,121,540,136,1256,12,1281,2017
192500,36,029,006602,3,369,271,700,30.9,269,815,63,625,98,464,562,127,393,293,815,2017
254700,36,029,006602,2,916,151,590,24.0,77,593,49,359,85,225,310,0,654,92,771,2017
246700,36,029,006602,1,855,67,685,22.9,24,826,56,517,281,180,461,20,735,52,826,2017
236600,36,029,009104,1,-666666666,135,994,-666666666.0,14,1602,0,550,536,14,550,5,1470,0,1602,2017
230400,36,029,009104,2,-666666666,85,851,-666666666.0,31,1273,0,435,429,6,435,59,1213,7,1273,2017
210300,36,029,009104,3,1034,217,1125,24.4,93,1487,15,734,605,114,719,5,1412,51,1487,2017
118100,36,029,010002,1,593,747,1602,28.7,158,1957,57,972,633,282,915,70,1729,129,1957,2017
105400,36,029,010002,2,620,669,1024,42.4,66,1286,29,688,545,114,659,0,1248,38,1286,2017
238500,36,029,005201,4,790,52,678,19.2,144,897,68,484,228,188,416,114,777,99,897,2017
230000,36,029,005201,1,848,81,583,19.0,0,755,96,461,268,97,365,31,699,19,755,2017
177200,36,029,005201,3,730,239,446,21.5,191,573,64,288,101,123,224,88,454,200,685,2017
171700,36,029,005201,2,781,52,390,18.4,27,562,23,255,148,84,232,23,495,22,562,2017
393500,36,029,007202,1,469,359,1301,19.1,229,1769,80,1048,312,656,968,482,956,531,1825,2017
199200,36,029,007302,3,-666666666,170,672,-666666666.0,0,907,13,338,311,14,325,0,907,0,907,2017
132500,36,029,007302,2,-666666666,145,708,-666666666.0,19,1149,0,407,386,21,407,17,1133,0,1149,2017
123500,36,029,007302,1,-666666666,263,888,-666666666.0,36,1395,14,549,471,64,535,239,1177,0,1395,2017
239200,36,029,007302,5,1023,100,769,14.5,59,1065,41,493,383,69,452,17,1020,0,1065,2017
133700,36,029,007302,6,-666666666,254,885,-666666666.0,336,1330,40,593,524,29,553,0,1282,72,1354,2017
127900,36,029,008101,4,675,256,744,27.4,95,1014,0,454,392,62,454,56,1014,0,1014,2017
120200,36,029,008101,1,707,320,1095,18.7,91,1328,17,787,546,224,770,0,1290,0,1328,2017
156500,36,029,008101,2,-666666666,299,1018,35.1,189,1481,0,655,474,181,655,138,1288,21,1481,2017
123200,36,029,008101,3,872,233,748,22.8,45,915,0,471,247,224,471,34,746,0,915,2017
