Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
77500,36,029,010500,2,-666666666,216,625,-666666666.0,117,847,0,406,347,59,406,11,463,325,847,2017
152000,36,029,008900,2,637,127,440,18.7,40,571,0,233,138,95,233,0,542,29,571,2017
75300,36,029,010400,2,582,170,385,29.5,113,666,105,383,145,133,278,31,332,280,666,2017
72300,36,029,010400,1,604,417,928,50.0,445,1466,118,709,321,270,591,47,853,427,1487,2017
77400,36,029,011000,3,630,276,511,19.3,187,727,47,327,192,88,280,0,651,24,727,2017
90300,36,029,011000,2,661,180,410,17.2,59,555,38,273,167,68,235,0,493,27,578,2017
88500,36,029,011000,1,1026,235,473,28.6,19,554,13,286,226,47,273,0,481,6,554,2017
100800,36,029,011400,1,539,194,499,35.9,65,716,19,322,186,117,303,4,653,16,716,2017
91500,36,029,011400,2,545,565,1043,22.8,349,1707,89,727,365,273,638,97,1435,197,1707,2017
89700,36,029,012800,1,673,381,713,24.6,60,1054,45,478,261,172,433,66,974,13,1058,2017
98400,36,029,012800,3,575,303,572,24.7,90,791,5,353,227,121,348,34,766,6,791,2017
95500,36,029,012800,2,546,324,579,32.9,185,782,75,473,161,237,398,4,753,20,782,2017
223800,36,029,013800,2,-666666666,81,403,-666666666.0,27,546,0,251,222,29,251,0,546,0,546,2017
202300,36,029,013800,3,699,534,2010,20.3,305,2740,0,1153,882,271,1153,2,2641,25,2755,2017
248000,36,029,007304,1,1056,584,1850,22.9,137,2689,173,1093,813,107,920,0,2659,0,2689,2017
232100,36,029,007304,2,-666666666,359,1921,20.7,42,2680,20,1058,953,85,1038,33,2644,3,2680,2017
95800,36,029,008700,2,634,292,788,26.6,56,1018,0,402,277,125,402,34,894,124,1018,2017
138300,36,029,014300,2,824,386,1222,36.9,58,1909,0,737,591,146,737,0,1812,29,1909,2017
234400,36,029,009004,2,-666666666,111,1202,32.1,16,1801,48,707,591,68,659,136,1641,0,1801,2017
279800,36,029,009007,4,-666666666,105,1063,-666666666.0,0,1492,44,586,518,24,542,0,1182,20,1492,2017
211900,36,029,009006,5,-666666666,279,1043,-666666666.0,39,1548,13,594,555,26,581,25,1295,107,1548,2017
218500,36,029,009008,2,1610,256,990,50.0,19,939,55,649,290,304,594,7,1046,46,1173,2017
184500,36,029,009008,1,950,166,1100,50.0,81,1433,79,805,637,89,726,12,1378,0,1433,2017
170200,36,029,009106,1,-666666666,197,718,-666666666.0,0,896,42,397,350,5,355,50,840,24,896,2017
145600,36,029,009107,3,642,359,1050,30.8,287,1540,39,860,352,469,821,35,1078,319,1540,2017
257300,36,029,009107,4,-666666666,178,523,-666666666.0,8,649,0,318,246,72,318,27,502,71,649,2017
-666666666,36,029,009110,1,-666666666,0,203,-666666666.0,12,17,0,8,0,8,8,632,3292,696,5843,2017
231200,36,029,009113,3,-666666666,352,1676,-666666666.0,73,2412,46,873,827,0,827,53,2156,26,2412,2017
110700,36,029,010902,4,782,301,701,37.7,150,738,38,542,81,423,504,47,600,138,738,2017
89200,36,029,940000,1,365,377,717,19.8,262,1179,61,542,339,142,481,18,90,0,1193,2017
67100,36,029,004401,4,720,232,715,21.6,379,1136,50,568,144,374,518,12,171,946,1136,2017
37200,36,029,016400,2,616,306,464,26.4,125,704,302,638,130,206,336,51,635,0,704,2017
-666666666,36,029,016400,4,542,368,479,50.0,390,974,29,283,140,114,254,318,77,584,974,2017
-666666666,36,029,016600,2,424,255,322,39.8,188,472,56,274,87,131,218,8,9,455,472,2017
61600,36,029,016800,4,446,249,552,50.0,224,682,233,552,130,189,319,97,39,596,732,2017
