the_geom,OBJECTID,STATEFP10,COUNTYFP10,Tract,Block Group,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLKGRP,GEOID10_1,TOTAL_POP,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULTI_RACE,HISPANIC,NON_HISPAN,HSE_UNITS,OCCUP,VACANT,PST_CD,CITY,GlobalID,Shape.STArea(),Shape.STLength(),TRACTNAME10
"MULTIPOLYGON (((-78.853955999706 42.896589999457, -78.853952999567 42.896169998982, -78.853958999844 42.89545199916, -78.853966000167 42.895131998798, -78.85397299959 42.894058998799, -78.853975999728 42.893090999144, -78.853975999728 42.893006998869, -78.853969000305 42.892551999479, -78.853970000351 42.891847999402, -78.853968000259 42.891035998844, -78.853968000259 42.890462999411, -78.853968000259 42.889786998826, -78.855589000337 42.889435998834, -78.855613999691 42.889429999457, -78.856177999609 42.889303999045, -78.856877000355 42.889145998956, -78.857279 42.889055999304, -78.857518000225 42.889013999166, -78.85791499964 42.888926998753, -78.858484999834 42.88880099924, -78.858524999879 42.888792998872, -78.858969999708 42.888694998851, -78.859708999599 42.888532999477, -78.860290000301 42.888405999019, -78.860963999894 42.888258999437, -78.861073999568 42.88823499923, -78.862065000284 42.888018999166, -78.863259999612 42.887758998872, -78.863328000048 42.88774399908, -78.863566000227 42.887691999381, -78.864432999723 42.8875189995, -78.86475700027 42.887450999063, -78.865634000227 42.887255999068, -78.866364999749 42.887091998702, -78.866836999923 42.886989999396, -78.866991999873 42.886955998728, -78.867438999794 42.886837998685, -78.867433999564 42.886855998615, -78.867346000004 42.887015998796, -78.86721000003 42.887446998879, -78.866972999897 42.888166998793, -78.866699999903 42.888997999328, -78.866137000031 42.890707999013, -78.865947000266 42.891292999, -78.865572000067 42.892457998743, -78.864406000278 42.892922999494, -78.863410000231 42.893322999046, -78.862987999664 42.893494998881, -78.863109999892 42.893773999152, -78.863838000175 42.894000998824, -78.863071999939 42.893874999311, -78.862997000079 42.894109999352, -78.86187499962 42.894376999069, -78.860695000084 42.89485499862, -78.859521999972 42.895333999116, -78.859434000412 42.895609999249, -78.859101000351 42.89664099911, -78.859079000236 42.896683999294, -78.858060000028 42.896674998879, -78.857050000235 42.896662999225, -78.856251000277 42.896659999087, -78.856046999866 42.896651998718, -78.855318000436 42.896604999249, -78.853955999706 42.896589999457)))",186,36,029,002502,2,360290025022,Block Group 2,G5030,S,747914,0,+42.8918139,-078.8598232,150,36,029,002502,2,360290025022,1028,56,916,4,10,0,16,26,39,989,598,455,143,,,{CFAE9141-A9D8-4A54-8B03-CCB515503550},0.000082420959738,0.041633425598511,25.02
"MULTIPOLYGON (((-78.877405999685 42.934225998657, -78.877267999619 42.933916998802, -78.876985000064 42.933255998909, -78.876985000064 42.933143999142, -78.876987000156 42.932623999454, -78.876990000294 42.931735998989, -78.876989000248 42.931654998853, -78.877757999723 42.931656998945, -78.879457999847 42.931656998945, -78.881857999862 42.931756999058, -78.884658000329 42.931756999058, -78.887692999938 42.93176699862, -78.88761499994 42.932272999461, -78.888820999774 42.93225799877, -78.888585999734 42.934040999122, -78.888440000198 42.935433999483, -78.888464000405 42.936089999145, -78.888606999802 42.936364999231, -78.88880399989 42.936593998995, -78.888646999847 42.936705998762, -78.888489999805 42.936801998691, -78.888477000105 42.93680999906, -78.888297999948 42.936904998942, -78.888115999652 42.936987999171, -78.887932000163 42.937060998939, -78.887803999659 42.937102999076, -78.88764599957 42.937153998729, -78.887448000336 42.937203999235, -78.887262999902 42.937240999142, -78.887152000181 42.937257999026, -78.887044999745 42.937273998865, -78.886825000396 42.937294998933, -78.886606000193 42.937304999394, -78.886391000175 42.937303999348, -78.88464999996 42.93734499944, -78.884231999578 42.937328998702, -78.884022999836 42.93731399891, -78.883815000141 42.937293998887, -78.883403000035 42.937239999096, -78.883141999695 42.93719499882, -78.882826999563 42.937130999467, -78.882517999709 42.937052999469, -78.882217000223 42.936960998826, -78.882040000158 42.93690299885, -78.881870000415 42.936836999405, -78.88170600005 42.936761998646, -78.881549000007 42.936678999316, -78.881474000147 42.936634999087, -78.881276000013 42.936514998951, -78.881109000409 42.936397998954, -78.880948000182 42.936268999302, -78.880782999771 42.936113999352, -78.880663999681 42.935981998663, -78.880613000028 42.935916999264, -78.880538000168 42.935819999289, -78.880426000401 42.93565199874, -78.880375999895 42.935566999318, -78.880075000409 42.935205998865, -78.879939999582 42.935066998753, -78.879891000021 42.935022999423, -78.879723000371 42.934901999241, -78.87954500026 42.934789999474, -78.879355999641 42.934686999223, -78.879158000407 42.934593999432, -78.878969999835 42.934520998765, -78.878774999839 42.934457999458, -78.878573999567 42.934404998814, -78.878370000056 42.93436199863, -78.877405999685 42.934225998657)))",104,36,029,006201,1,360290062011,Block Group 1,G5030,S,477795,0,+42.9341905,-078.8834970,150,36,029,006201,1,360290062011,1549,834,527,8,55,1,70,54,199,1350,0,0,0,,,{98C8B956-FC68-4E9C-917D-44165BA41914},0.000052689307022,0.032068396913593,62.01
"MULTIPOLYGON (((-78.889249444883 42.95856918639, -78.889361000385 42.957863999208, -78.88947100006 42.957168998648, -78.889573000265 42.956520999354, -78.888527999758 42.956530998916, -78.887525000288 42.956533999054, -78.88620100041 42.956543998616, -78.885792999589 42.956556999215, -78.885668000122 42.956563998638, -78.885356000129 42.95659199903, -78.885215999971 42.95660999896, -78.884794000303 42.956665998843, -78.884519000217 42.956692999189, -78.884242000039 42.956704998843, -78.883414999688 42.956704998843, -78.880324000196 42.956714999304, -78.878364999825 42.956726998957, -78.878339000425 42.955972999274, -78.878279000357 42.952705998863, -78.878250999966 42.951415998754, -78.878542999936 42.950934999065, -78.878689000371 42.950763999276, -78.87910299967 42.950275999264, -78.880192999553 42.948957998763, -78.880626999774 42.948214998688, -78.880687999888 42.948086999083, -78.880332999712 42.947755999113, -78.880765999886 42.947755999113, -78.881410999941 42.947755999113, -78.881424999687 42.949846999274, -78.881429999918 42.95020199945, -78.881441000425 42.950676998863, -78.881447999848 42.951367999239, -78.882406999988 42.951366999193, -78.882432000241 42.951374998663, -78.883385000104 42.951369999332, -78.884342000152 42.951366999193, -78.885284999554 42.951361998963, -78.885310999853 42.951351999401, -78.886323999784 42.951347999217, -78.886790999728 42.951346999171, -78.88739000036 42.951343999032, -78.887391000406 42.951393998639, -78.888582000448 42.951382999031, -78.888800999752 42.951379998893, -78.889228999696 42.951411999469, -78.890396000431 42.951236999496, -78.890486000083 42.95065699884, -78.890617999872 42.949807999274, -78.890746000377 42.948970999362, -78.890979000325 42.94751399875, -78.890983999657 42.94748799935, -78.893097999978 42.947661999277, -78.894338999627 42.947759999297, -78.895341999997 42.947853999134, -78.895035000234 42.949535999327, -78.894324999881 42.952832999322, -78.893858999984 42.955119998625, -78.893665000034 42.956073999433, -78.893549000083 42.956637999351, -78.89337400011 42.957496999378, -78.893220000206 42.958245998831, -78.893115999908 42.958747999488, -78.892554458737 42.961168504046, -78.892548117617 42.961160721313, -78.892497378767 42.961099807534, -78.892407623731 42.960987895901, -78.8923888288 42.960964965887, -78.892292510511 42.960847241036, -78.892180231055 42.960713439005, -78.892054808907 42.960565951991, -78.891956128999 42.960442746672, -78.891879545433 42.960349661446, -78.891808597918 42.960262736576, -78.891739169358 42.960180550233, -78.891725362966 42.960160856879, -78.891677450686 42.960090570366, -78.891654874105 42.960058049083, -78.891533945869 42.959874536128, -78.891406914834 42.959684523772, -78.891269566776 42.959485621618, -78.8911773449 42.959346277066, -78.891105389245 42.959244262471, -78.891018332174 42.959110391193, -78.890928416159 42.958964522958, -78.89084462093 42.958828928578, -78.890774880305 42.958702556746, -78.890729698366 42.958631681177, -78.890691071586 42.958564217636, -78.890391285285 42.958565364271, -78.889887905967 42.958567056795, -78.889658630111 42.958567670133, -78.889378455326 42.958568762809, -78.889285530179 42.958569011022, -78.889249444883 42.95856918639)))",28,36,029,005600,2,360290056002,Block Group 2,G5030,S,1061073,0,+42.9535335,-078.8872745,150,36,029,005600,2,360290056002,704,557,47,3,8,0,58,31,114,590,344,317,27,,,{ACC87889-5A9B-4A77-856E-9D0010842C32},0.000116934431545,0.063354913170265,56
"MULTIPOLYGON (((-78.864482000184 42.915348999035, -78.864642000364 42.91490299916, -78.864826999899 42.914345998666, -78.864983999942 42.913943999021, -78.865026000079 42.913836999484, -78.865494000069 42.912485999261, -78.865912999598 42.911245998758, -78.866005000242 42.91124299862, -78.866388999956 42.911244998712, -78.868135000401 42.911250998989, -78.870054999874 42.911251999035, -78.870324999729 42.91126099945, -78.870176000055 42.911808998631, -78.870081000173 42.912213999313, -78.869825000063 42.913135998647, -78.869565999816 42.914079998994, -78.869371999866 42.914690999281, -78.869172999686 42.915393999311, -78.866824000223 42.91537599938, -78.865495000115 42.915364998873, -78.864482000184 42.915348999035)))",64,36,029,006602,3,360290066023,Block Group 3,G5030,S,170920,0,+42.9133343,-078.8674803,150,36,029,006602,3,360290066023,697,434,225,3,10,0,16,9,44,653,537,489,48,,,{FAE64223-42B0-4398-9168-D3E08DAF9C01},0.000018842097848,0.017740701580508,66.02
"MULTIPOLYGON (((-78.843807101142 42.95848143864, -78.843846000417 42.955964998905, -78.843846000417 42.955933999275, -78.843852999841 42.955502999192, -78.843862000255 42.955042998672, -78.843872999863 42.954436998617, -78.845074000367 42.954451999308, -78.84617699995 42.954462998916, -78.847281999625 42.954473999423, -78.848372999554 42.954485999077, -78.849429999715 42.954495998639, -78.849477000083 42.954496998685, -78.851299000434 42.954519998846, -78.853076999656 42.954560998937, -78.854349999881 42.954568999306, -78.855756999988 42.954578998867, -78.857311999722 42.954591999467, -78.858151999773 42.954596998798, -78.858901000125 42.954596998798, -78.858903000217 42.954639998981, -78.858900000079 42.954990998973, -78.858897999986 42.955385999195, -78.85889699994 42.955571998776, -78.858900000079 42.955755999164, -78.858890999664 42.956170999408, -78.858874999825 42.957030999481, -78.858873999779 42.957875998862, -78.858644647481 42.958647458883, -78.855950142883 42.95863816439, -78.85579977714 42.958637494395, -78.855014330863 42.958634902549, -78.854075248907 42.958631639808, -78.853605460166 42.958626918368, -78.853140332611 42.958620127587, -78.852860138041 42.958616328851, -78.852205411819 42.958606894063, -78.85203215743 42.958604556725, -78.85177063998 42.958600711224, -78.85126815099 42.958592628118, -78.850914631997 42.958586938107, -78.850469116857 42.958579747129, -78.850336022593 42.958577657104, -78.849794774623 42.958569314993, -78.849337117736 42.958562148296, -78.848623545276 42.958550770073, -78.848398451267 42.958546833741, -78.84795807845 42.958540650003, -78.847465864215 42.958532869068, -78.846951234379 42.958524794955, -78.846125126156 42.958513661349, -78.845971951829 42.958511269152, -78.845013214291 42.95849734405, -78.844983326223 42.958496727115, -78.843814916251 42.958481557351, -78.843807101142 42.95848143864)))",12,36,029,005100,1,360290051001,Block Group 1,G5030,S,553551,0,+42.9565552,-078.8513522,150,36,029,005100,1,360290051001,1774,1370,281,18,26,0,33,46,114,1660,998,912,86,,,{BEA2D573-3DF6-408B-925F-2CD75F222650},0.000060976168226,0.0379969146144,51
"MULTIPOLYGON (((-78.839236000152 42.885008998911, -78.839110999786 42.885006998818, -78.838142000084 42.884982998611, -78.837265000127 42.884974999142, -78.835926999604 42.884961999442, -78.83513700006 42.884954999119, -78.834662999794 42.884950998935, -78.834086000176 42.884944998658, -78.832052999991 42.884912998982, -78.829875000316 42.884896999144, -78.827693999605 42.884881999352, -78.827049999596 42.884875999075, -78.825653999996 42.884861999329, -78.825614999997 42.884860999283, -78.824138000261 42.884850998822, -78.825591999836 42.882817998637, -78.825681000342 42.882730999123, -78.825762999625 42.882588998873, -78.826903000014 42.880980999393, -78.828732999835 42.878399999129, -78.82910399985 42.878128999227, -78.828884999647 42.878105999066, -78.829101999757 42.877752998982, -78.82930800026 42.877415998736, -78.829423000165 42.877221998786, -78.82953800007 42.877263998923, -78.830397000097 42.876056999043, -78.832077000198 42.876699999005, -78.832173000126 42.876737998958, -78.832623000185 42.876917999162, -78.832942999648 42.877044998721, -78.833253999595 42.877159998626, -78.834118999898 42.877493998734, -78.834981000063 42.877824998703, -78.835853999836 42.878159998857, -78.835951999857 42.87819799881, -78.836855000113 42.878540999333, -78.837630999911 42.878836999488, -78.838380000263 42.879126999366, -78.838490999984 42.87916999865, -78.839222999553 42.879292998924, -78.839222999553 42.879661998846, -78.839223999599 42.880139999297, -78.839224999645 42.881085998837, -78.839224999645 42.881621999264, -78.839227999783 42.882205999204, -78.839228999829 42.883345998694, -78.839757999933 42.883346998741, -78.84180599991 42.883351998971, -78.84252199964 42.883341999409, -78.84304400032 42.883338999271, -78.843034999905 42.885041998633, -78.842780999888 42.885041998633, -78.842038999858 42.885041998633, -78.841461000194 42.885033999164, -78.841049000088 42.885028998933, -78.840489000354 42.885022998657, -78.840109999971 42.885018999372, -78.839562999937 42.885012999095, -78.839236000152 42.885008998911)))",146,36,029,001700,1,360290017001,Block Group 1,G5030,S,886352,0,+42.8816577,-078.8331693,150,36,029,001700,1,360290017001,1131,845,217,7,20,0,4,38,46,1085,683,556,127,,,{34257ADC-61F6-47FF-974A-6343DFEFC2AF},0.00009766142213,0.049124999500221,17
"MULTIPOLYGON (((-78.89337400011 42.957496999378, -78.893549000083 42.956637999351, -78.893665000034 42.956073999433, -78.893858999984 42.955119998625, -78.894324999881 42.952832999322, -78.895035000234 42.949535999327, -78.895341999997 42.947853999134, -78.89560999976 42.946382998775, -78.89585300017 42.944799998649, -78.896272999745 42.944626998768, -78.896833000378 42.944391998728, -78.897748000288 42.944008999059, -78.89807600012 42.943873999131, -78.899421000066 42.94331599949, -78.900318000046 42.942943999429, -78.900797999689 42.943868998901, -78.901257000163 42.944759999503, -78.901789000405 42.945797998788, -78.901927999618 42.946067998644, -78.902047999754 42.946302998685, -78.902313000278 42.946812998811, -78.902399999792 42.946979999315, -78.89989300024 42.947693998953, -78.899292999562 42.947863998696, -78.899276999724 42.947844998719, -78.898382999882 42.948233998664, -78.897857999963 42.948461999282, -78.897829999572 42.94849099882, -78.897498999602 42.948846999042, -78.897359000343 42.948995998716, -78.897262000369 42.94910099906, -78.897155999979 42.949771999414, -78.897033999751 42.950566999188, -78.896938999868 42.951180998713, -78.896909000284 42.95137299947, -78.89818699984 42.952014999386, -78.898881000355 42.952369998663, -78.898333000275 42.952956998742, -78.897781000011 42.953548999052, -78.897368999905 42.95403799911, -78.897823000148 42.954307998966, -78.898158000302 42.954458998732, -78.898411000273 42.954589999374, -78.898937000239 42.954902999413, -78.898760000173 42.955090999086, -78.898464000019 42.955410999448, -78.898108999842 42.955795999209, -78.897754999712 42.956174998693, -78.897402999674 42.9565479988, -78.89707299975 42.956893999461, -78.896696000358 42.95729999929, -78.896073999565 42.957971998791, -78.89551699997 42.958573998662, -78.893519999646 42.957575999422, -78.89337400011 42.957496999378)))",30,36,029,005700,1,360290057001,Block Group 1,G5030,S,520654,0,+42.9546668,-078.8956303,150,36,029,005700,1,360290057001,740,394,212,21,3,1,82,27,258,482,366,306,60,,,{BE9A0A0C-89FF-4B43-9BF5-1EEB34175CA2},0.000057430692572,0.043961506945046,57
"MULTIPOLYGON (((-78.818764999898 42.904151999103, -78.81890400001 42.904116999288, -78.81890400001 42.904176999356, -78.820532999558 42.903951998876, -78.821089000007 42.903878999109, -78.821934000288 42.903767999388, -78.822156999775 42.90373899895, -78.823201000236 42.903600998884, -78.823213999936 42.906008999268, -78.823226999636 42.908826998767, -78.822553000043 42.909096998622, -78.822286000326 42.909204999104, -78.821819000382 42.909392998777, -78.821296999702 42.909593999049, -78.820951999987 42.909730999069, -78.820338999609 42.909733999208, -78.818709000014 42.909740998631, -78.818762999805 42.908534998796, -78.818789000105 42.907942999386, -78.818768000036 42.904501999049, -78.818764999898 42.904151999103)))",164,36,029,002900,3,360290029003,Block Group 3,G5030,S,226428,0,+42.9067103,-078.8209698,150,36,029,002900,3,360290029003,343,10,319,0,0,0,0,14,1,342,268,153,115,,,{117A4F1D-0B06-4536-8169-5B7149980773},0.000024958590269,0.020046810269464,29
"MULTIPOLYGON (((-78.806890000188 42.944193999493, -78.80689200028 42.943438998864, -78.806890000188 42.942676998812, -78.806890000188 42.941917998898, -78.808135000021 42.941915998806, -78.808534000428 42.941902999106, -78.809029999909 42.941902999106, -78.809983999818 42.941907999337, -78.810840999753 42.941907999337, -78.8128709998 42.941910999475, -78.813659000151 42.941908999383, -78.813659000151 42.942479998724, -78.813659000151 42.942676998812, -78.813656000013 42.943376998704, -78.813656000013 42.94343499868, -78.813654999967 42.943597998999, -78.813671999851 42.944196998732, -78.810845999984 42.944200998916, -78.809007999794 42.94419999887, -78.807832000443 42.944193999493, -78.806890000188 42.944193999493)))",260,36,029,004300,2,360290043002,Block Group 2,G5030,S,140459,0,+42.9430542,-078.8102771,150,36,029,004300,2,360290043002,925,111,741,3,29,0,10,31,28,897,389,338,51,,,{E4AF2CD9-5A6F-47D9-803E-7D309F1499F4},0.000015491322423,0.018115505109103,43
"MULTIPOLYGON (((-78.826500000323 42.91448199864, -78.827796999856 42.914496999331, -78.829089000057 42.914508998985, -78.82909600038 42.915689999466, -78.829108000034 42.916502999171, -78.829110000126 42.918863999187, -78.829110000126 42.918881999117, -78.829123999872 42.919300998646, -78.829120999734 42.920879999487, -78.829130000149 42.922154998905, -78.827959000129 42.922252998926, -78.827833999763 42.922262999387, -78.827293000006 42.922307998763, -78.826771000225 42.922355999177, -78.826539000322 42.922376999246, -78.826534000092 42.920809998958, -78.82653700023 42.9193129992, -78.826522999585 42.918874998794, -78.826521000392 42.916495998848, -78.826500000323 42.91448199864)))",197,36,029,003400,2,360290034002,Block Group 2,G5030,S,182280,0,+42.9183812,-078.8278115,150,36,029,003400,2,360290034002,503,10,477,0,8,0,4,4,12,491,329,228,101,,,{8A9A26FC-CA69-4702-AB9E-49BF75C777FF},0.000020096013385,0.020731378204732,34
"MULTIPOLYGON (((-78.799548999938 42.884581999012, -78.799552000076 42.884555998713, -78.799562999684 42.882293998764, -78.799560999592 42.882153999505, -78.799622999752 42.881163998836, -78.799654000281 42.880758999052, -78.799662150837 42.877999502251, -78.799664420726 42.877923827899, -78.799668703297 42.877814407388, -78.79966911069 42.877797599958, -78.799670655725 42.877706019298, -78.799673225988 42.877640848129, -78.799673622589 42.877620954226, -78.799673911271 42.877604715168, -78.799754000395 42.877157999433, -78.799756999633 42.876213999085, -78.800456000379 42.876232999062, -78.801255000338 42.876255999223, -78.801916000231 42.876274999199, -78.802369999575 42.876283998715, -78.804006000345 42.87630599883, -78.805007999769 42.876318999429, -78.805063999652 42.876317999383, -78.805852000004 42.876304998784, -78.806178999789 42.876290999038, -78.806472999851 42.876270999015, -78.80676799996 42.876255999223, -78.807238000042 42.876219999362, -78.808021000162 42.876138999225, -78.808171999928 42.876117999157, -78.80851799969 42.876079999204, -78.808539999805 42.875342999405, -78.808553999551 42.874869999185, -78.808601999965 42.873324999012, -78.808645000148 42.871876998814, -78.809593999827 42.871891999506, -78.80968899971 42.871892998652, -78.810533999991 42.871905999252, -78.810750000055 42.871909999436, -78.811462999647 42.871919998998, -78.811806000169 42.871925999274, -78.812952999982 42.871942999158, -78.813916000307 42.871956998905, -78.81495699973 42.871969999504, -78.815911999685 42.871985999342, -78.816553999602 42.871995998904, -78.817773000035 42.872013998834, -78.818170000349 42.872019999111, -78.819980000147 42.87205899911, -78.818147000188 42.874621999444, -78.817594999924 42.87539599915, -78.817348000229 42.875737998727, -78.817169000072 42.875987999459, -78.816709999598 42.876630999422, -78.815787000218 42.877920998632, -78.814359000043 42.879909999487, -78.814112000348 42.880617998848, -78.814108000164 42.880829998728, -78.814101999887 42.881114999275, -78.814083999957 42.882073999415, -78.814070000211 42.882360999155, -78.814057999658 42.883050999485, -78.814044999958 42.883401999477, -78.814040999773 42.883799998938, -78.814044999958 42.883857998913, -78.814038999681 42.884094999046, -78.814218999885 42.884788998662, -78.813669999759 42.884775998962, -78.811619999689 42.884757999032, -78.809692999894 42.884739999101, -78.808659999941 42.884728999493, -78.807592000172 42.884719999079, -78.806329000408 42.884708999471, -78.805084999721 42.884694998825, -78.803839999888 42.884678998987, -78.802525000424 42.884660999057, -78.802109000134 42.88465499878, -78.801249000061 42.884894999052, -78.80070900035 42.88503499921, -78.80025400006 42.884856999099, -78.799746000026 42.884658998965, -78.799548999938 42.884581999012)))",109,36,029,016700,3,360290167003,Block Group 3,G5030,S,1553351,0,+42.8787897,-078.8088073,150,36,029,016700,3,360290167003,889,778,61,3,8,0,12,27,27,862,488,409,79,,,{AA26C62A-C9CB-4802-B56E-9059E746D2A6},0.000171143832024,0.062100456296601,167
"MULTIPOLYGON (((-78.799008595532 42.933169901415, -78.80209200025 42.933134998727, -78.805124999766 42.933096998774, -78.807478000313 42.933116998797, -78.80830599981 42.933132998635, -78.810331999672 42.933171998634, -78.810444000339 42.933078998844, -78.810445000385 42.933355999022, -78.810445000385 42.933558999386, -78.810446000431 42.93384499908, -78.810426000408 42.934415999321, -78.810426000408 42.935074999122, -78.80900899984 42.935079999352, -78.806739000422 42.935081999444, -78.806739999569 42.935825998667, -78.80673700033 42.93655899918, -78.806738000376 42.937329998748, -78.805159999581 42.937330998794, -78.804793999797 42.93733199884, -78.803629000054 42.937323999371, -78.803390999875 42.937323999371, -78.802622000399 42.937334998979, -78.80211000018 42.937336999071, -78.800565000007 42.937339999209, -78.79903297885 42.937341988509, -78.799032967159 42.937336282311, -78.799032450948 42.937054694691, -78.799032272882 42.937003590717, -78.799028914814 42.936576928064, -78.799028841969 42.936556006237, -78.799028772721 42.936536114133, -78.799022932524 42.936066239956, -78.799020241752 42.935830615786, -78.799019564563 42.935770253291, -78.799017068944 42.935456085932, -78.799016256856 42.935089783076, -78.799016186709 42.935069546532, -78.799014516668 42.934724853485, -78.799013403307 42.934405881948, -78.799010931971 42.93396549834, -78.799010047038 42.933845455036, -78.799009841093 42.933786463109, -78.799009490357 42.933685970167, -78.799008453439 42.933255186821, -78.799008595532 42.933169901415)))",262,36,029,004401,3,360290044013,Block Group 3,G5030,S,359855,0,+42.9350267,-078.8039137,150,36,029,004401,3,360290044013,1368,96,1218,0,4,1,14,35,29,1339,674,595,79,,,{EBE95199-17F5-446D-98BB-5C8239F3D2F6},0.000039648676239,0.031278727300732,44.01
"MULTIPOLYGON (((-78.858275000046 42.885010999003, -78.858440999605 42.884498998784, -78.858597999647 42.884015999002, -78.859020000214 42.882747999008, -78.859331000161 42.881819999397, -78.859413000344 42.881574998896, -78.859646000292 42.880892998934, -78.859667000361 42.880826999489, -78.859933000032 42.879973998839, -78.8637539999 42.88065099947, -78.864763999693 42.880825999443, -78.866224000444 42.881078999414, -78.866973999943 42.881208999111, -78.867705000365 42.88133599867, -78.868426000325 42.881460999037, -78.868949000152 42.881551998735, -78.869131999595 42.881582999264, -78.868874000292 42.882355998924, -78.868621000321 42.883123999253, -78.868588999745 42.883208998674, -78.868557000069 42.883294999041, -78.868350000419 42.883914998843, -78.868240999891 42.884344998879, -78.868175000446 42.884532999452, -78.868132000263 42.884659999011, -78.867964999759 42.885147999023, -78.867889999899 42.885403999132, -78.867784000409 42.885712998987, -78.867018000173 42.885585999428, -78.866335000165 42.885742999471, -78.866009000426 42.884925998682, -78.866032999734 42.884857999145, -78.864690999925 42.884885998637, -78.863469000252 42.88491099889, -78.863362999863 42.884912998982, -78.862493000228 42.884929998866, -78.862111999753 42.884936999189, -78.860828999966 42.884962999488, -78.860056000306 42.884976999234, -78.859602000063 42.884984998704, -78.858871999687 42.884999999395, -78.858275000046 42.885010999003)))",179,36,029,001402,3,360290014023,Block Group 3,G5030,S,378090,0,+42.8829095,-078.8636313,150,36,029,001402,3,360290014023,1286,95,1135,4,0,1,31,20,84,1202,607,571,36,,,{02586585-E1BF-4CED-B46A-CC7BE79E2E1E},0.000041660262271,0.029176153823369,14.02
"MULTIPOLYGON (((-78.835064000292 42.944838998648, -78.834665999932 42.944602999461, -78.833794000205 42.944068999127, -78.834044000038 42.94385099897, -78.834810000275 42.943143998756, -78.83556600005 42.942475999439, -78.836213000197 42.94187099943, -78.835316000217 42.941336999096, -78.834833000435 42.941046999218, -78.834833999582 42.941005999127, -78.83486300002 42.940207999214, -78.836541000028 42.940227999236, -78.837990000272 42.940249999351, -78.839085000386 42.940260998959, -78.840062999603 42.940268999328, -78.841181999924 42.94028399912, -78.841747999934 42.94028399912, -78.843288999922 42.94029699882, -78.84341100015 42.940297998866, -78.844143999765 42.940304999188, -78.844132000111 42.941409998864, -78.844132000111 42.941427998794, -78.844128999973 42.942096999056, -78.844112000088 42.942641998997, -78.844102999674 42.9438819995, -78.844095000204 42.945024999128, -78.84167400012 42.944995998691, -78.839019000042 42.944967999199, -78.837092000246 42.944949999268, -78.835219000242 42.944931999338, -78.835064000292 42.944838998648)))",254,36,029,004500,4,360290045004,Block Group 4,G5030,S,390571,0,+42.9426595,-078.8395266,150,36,029,004500,4,360290045004,840,675,129,8,12,0,4,12,11,829,399,370,29,,,{BB4E9005-1095-4280-ADCD-48A40143F2A5},0.000043076198066,0.030260010118026,45
"MULTIPOLYGON (((-78.824253000166 42.909197998781, -78.824253000166 42.909093999383, -78.824247999936 42.90842299903, -78.824816000038 42.908191999173, -78.825431999655 42.90794199934, -78.826265000282 42.907612999463, -78.827224000422 42.907235999171, -78.828294000283 42.906807999227, -78.828934000107 42.906552999164, -78.828903999623 42.903523998932, -78.82974499972 42.903532999347, -78.829945999992 42.903534999439, -78.830744999951 42.903544999001, -78.830936999808 42.903546999093, -78.831745000182 42.903563998977, -78.832121000427 42.903568999208, -78.832668999608 42.903576998677, -78.833313999663 42.903585999092, -78.83356000021 42.903589999277, -78.83450100042 42.903603999023, -78.834980000017 42.903609999299, -78.835504999936 42.903620998907, -78.83584000009 42.903626999184, -78.835839000044 42.903776998903, -78.835835999906 42.904328999168, -78.835825000298 42.906068999336, -78.835825000298 42.906470998981, -78.835714999724 42.906469998935, -78.835708000301 42.907211998965, -78.83445700019 42.907203999495, -78.833832000158 42.907198999265, -78.832380999822 42.90718999885, -78.832390000237 42.908248999103, -78.830997999922 42.908236999449, -78.830426999681 42.908226998988, -78.830138999895 42.908224998896, -78.829191000263 42.90821599938, -78.829156000448 42.908224998896, -78.828950999991 42.908220998711, -78.828963999691 42.90926799931, -78.82880400041 42.909263999126, -78.828768999696 42.909257998849, -78.827221000284 42.909236998781, -78.824253000166 42.909197998781)))",199,36,029,003500,1,360290035001,Block Group 1,G5030,S,333309,0,+42.9062518,-078.8309998,150,36,029,003500,1,360290035001,410,28,360,0,0,0,8,14,24,386,251,172,79,,,{DC778316-5ACD-41C6-99A8-823BBC5A7BFB},0.000036739381726,0.033067966989305,35
